gene	votu_id	dataset	Family	VFC	VC60	VC65	VC70	VC71	VC72	VC73	VC74	VC75	VC76	VC77	VC78	VC79	VC80	VC85	VC90	VC95	PC	itol_label	itol_color
MZ130488_71	MZ130488	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_441	#42d4f4
MZ130500_74	MZ130500	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	248	Suoliviridae_468	#4363d8
IMGVR_1449837_47	IMGVR_1449837	Heliusvirales	Atenviridae	534	1476	1294	1105	1065	1025	984	949	913	871	833	799	770	734	579	408	223	20	Heliusvirales_1476	#9A6324
TLL107_opera_contig_62_37	TLL107_opera_contig_62	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	163	12_1725	#808000
NatCom_59788_41	NatCom_59788	Heliusvirales	Atenviridae	534	1477	1295	1106	1066	1025	984	949	913	871	833	799	770	734	579	408	223	20	Heliusvirales_1477	#9A6324
2819_k141_304_29	2819_k141_304	J4Dfams	Tsurumiviridae	35	1775	1537	1291	1241	1195	1142	1098	1046	995	947	902	862	818	626	424	224	210	Tsurumiviridae_1775	#000000
TLL55_99__full_1_10	TLL55_99__full_1	SPMP		3	624	538	447	434	419	404	386	374	356	339	328	317	301	240	176	113	1710	3_624	#ffe119
TLL48_opera_contig_247_17	TLL48_opera_contig_247	SPMP		9	1203	1047	895	863	836	806	777	752	719	691	668	648	619	500	360	210	2064	9_1203	#fffac8
TLL20_opera_contig_95_22	TLL20_opera_contig_95	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1765	#00fa9a
TLL46_115215__0_partial_1_26	TLL46_115215__0_partial_1	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1765	#00fa9a
TLL5_306037__0_partial_1_22	TLL5_306037__0_partial_1	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1765	#00fa9a
TLL97_opera_contig_855_16	TLL97_opera_contig_855	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	210	13_1760	#00fa9a
TLL74_opera_contig_228_21	TLL74_opera_contig_228	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	163	12_1725	#808000
4138_k141_41783_31	4138_k141_41783	J4Dfams	Tsurumiviridae	13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1765	#000000
TLL34_opera_contig_43_provirus_376_91308_82	TLL34_opera_contig_43_provirus_376_91308	SPMP		1	1526	1323	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1526	#e6194B
TLL47_opera_contig_74_25	TLL47_opera_contig_74	SPMP		13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1766	#00fa9a
1116_k141_52041_31	1116_k141_52041	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1766	#000000
1148_k141_13247_32	1148_k141_13247	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1766	#000000
1229_k141_16905_29	1229_k141_16905	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1766	#000000
TLL36_opera_contig_151999_provirus_605111_640292_29	TLL36_opera_contig_151999_provirus_605111_640292	SPMP		13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1766	#00fa9a
TLL48_opera_contig_1_provirus_423179_437675_7	TLL48_opera_contig_1_provirus_423179_437675	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	210	13_1760	#00fa9a
TLL83_232403__0_partial_1_9	TLL83_232403__0_partial_1	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	210	13_1760	#00fa9a
IMGVR_15639783_54	IMGVR_15639783	Heliusvirales	Aineviridae	1	1534	1330	1120	1076	1034	992	956	918	875	837	802	772	736	579	408	223	20	Heliusvirales_1534	#9A6324
TLL39_opera_contig_225581_provirus_64_41383_24	TLL39_opera_contig_225581_provirus_64_41383	SPMP		3	622	536	446	433	419	404	386	374	356	339	328	317	301	240	176	113	1710	3_622	#ffe119
TLL69_opera_contig_78_28	TLL69_opera_contig_78	SPMP		3	622	536	446	433	419	404	386	374	356	339	328	317	301	240	176	113	1710	3_622	#ffe119
GPD_137368_59	GPD_137368	Heliusvirales	Xiheviridae	673	1539	1335	1125	1081	1039	997	961	922	879	841	806	775	738	581	409	223	20	Heliusvirales_1539	#9A6324
TLL56_opera_contig_46_60	TLL56_opera_contig_46	SPMP		1	1497	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1497	#e6194B
TLL88_opera_contig_50_provirus_1_47440_37	TLL88_opera_contig_50_provirus_1_47440	SPMP		1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1498	#e6194B
IMGVR_6239616_72	IMGVR_6239616	Heliusvirales	Utuviridae	992	1449	1271	1086	1047	1008	968	933	899	857	820	787	759	724	576	408	223	20	Heliusvirales_1449	#9A6324
TLL90_opera_contig_98946_provirus_588986_650365_30	TLL90_opera_contig_98946_provirus_588986_650365	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1530	#e6194B
TLL13_opera_contig_224816_provirus_368103_409073_27	TLL13_opera_contig_224816_provirus_368103_409073	SPMP		13	1763	1527	1284	1235	1189	1137	1093	1042	991	945	900	861	817	626	424	224	3254	13_1763	#00fa9a
TLL65_opera_contig_110209_provirus_38366_84130_8	TLL65_opera_contig_110209_provirus_38366_84130	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1495	#e6194B
TLL31_opera_contig_527_27	TLL31_opera_contig_527	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1767	#00fa9a
TLL107_opera_contig_96707_provirus_5877_50752_19	TLL107_opera_contig_96707_provirus_5877_50752	SPMP		5	2351	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2351	#3cb44b
TLL49_opera_contig_247905_provirus_1_42086_37	TLL49_opera_contig_247905_provirus_1_42086	SPMP		5	2353	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2353	#3cb44b
TLL20_opera_contig_189814_provirus_385437_426958_40	TLL20_opera_contig_189814_provirus_385437_426958	SPMP		5	2344	1998	1639	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2344	#3cb44b
TLL48_opera_contig_324_32	TLL48_opera_contig_324	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1767	#00fa9a
TLL106_opera_contig_152772_provirus_67832_108125_22	TLL106_opera_contig_152772_provirus_67832_108125	SPMP		5	2351	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2351	#3cb44b
TLL82_opera_contig_171924_provirus_150406_191753_16	TLL82_opera_contig_171924_provirus_150406_191753	SPMP		5	2353	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2353	#3cb44b
TLL89_opera_contig_174724_provirus_48337_91182_17	TLL89_opera_contig_174724_provirus_48337_91182	SPMP		5	2352	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2352	#3cb44b
TLL96_opera_contig_203268_provirus_3_47234_30	TLL96_opera_contig_203268_provirus_3_47234	SPMP		1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1498	#e6194B
TLL99_opera_contig_162334_provirus_173682_214993_47	TLL99_opera_contig_162334_provirus_173682_214993	SPMP		5	2353	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2353	#3cb44b
TLL6_opera_contig_191544_provirus_69737_116367_37	TLL6_opera_contig_191544_provirus_69737_116367	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	163	12_1725	#808000
IMGVR_15443304_40	IMGVR_15443304	Heliusvirales	Hathorviridae	1	1533	1329	1119	1075	1033	991	955	917	874	836	801	772	736	579	408	223	20	Heliusvirales_1533	#9A6324
IMGVR_15557432_21	IMGVR_15557432	Heliusvirales	Xiheviridae	1	1488	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1488	#9A6324
TLL43_opera_contig_349128_59	TLL43_opera_contig_349128	SPMP		1	1497	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1497	#e6194B
TLL45_293700__0_partial_1_42	TLL45_293700__0_partial_1	SPMP		5	2341	1995	1638	1566	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2341	#3cb44b
TLL98_opera_contig_42_25	TLL98_opera_contig_42	SPMP		3	622	536	446	433	419	404	386	374	356	339	328	317	301	240	176	113	1710	3_622	#ffe119
TLL87_opera_contig_245_35	TLL87_opera_contig_245	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1495	#e6194B
TLL102_opera_contig_165_42	TLL102_opera_contig_165	SPMP		1	1488	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	1_1488	#e6194B
IMGVR_9707994_44	IMGVR_9707994	Heliusvirales	Xiheviridae	673	1540	1336	1126	1082	1040	998	962	923	880	842	806	775	738	581	409	223	20	Heliusvirales_1540	#9A6324
TLL38_opera_contig_302_46	TLL38_opera_contig_302	SPMP		5	2341	1995	1638	1566	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2341	#3cb44b
IMGVR_15526565_44	IMGVR_15526565	Heliusvirales	Utuviridae	1	1532	1328	1118	1074	1032	990	954	917	874	836	801	772	736	579	408	223	20	Heliusvirales_1532	#9A6324
TLL60_148579__0_partial_1_39	TLL60_148579__0_partial_1	SPMP		5	2351	2002	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2351	#3cb44b
TLL37_opera_contig_156053_provirus_22087_70060_35	TLL37_opera_contig_156053_provirus_22087_70060	SPMP		5	2354	2003	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2354	#3cb44b
IMGVR_1647945_56	IMGVR_1647945	Heliusvirales	Hunahpuviridae	816	1467	1288	1101	1061	1021	980	945	910	868	830	796	767	731	579	408	223	20	Heliusvirales_1467	#9A6324
TLL6_opera_contig_189678_provirus_187463_237360_36	TLL6_opera_contig_189678_provirus_187463_237360	SPMP		5	2347	2000	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2347	#3cb44b
TLL3_45__full_1_44	TLL3_45__full_1	SPMP		1	1522	1319	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1522	#e6194B
CHVD_9721_42	CHVD_9721	Heliusvirales	Hathorviridae	1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1498	#9A6324
TLL10_opera_contig_144655_provirus_21663_68917_36	TLL10_opera_contig_144655_provirus_21663_68917	SPMP		5	2354	2003	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2354	#3cb44b
IMGVR_15609269_67	IMGVR_15609269	Heliusvirales	Hathorviridae	1	1483	1300	1110	1070	1028	987	952	915	873	835	801	772	736	579	408	223	20	Heliusvirales_1483	#9A6324
TLL43_opera_contig_348284_provirus_4636_59002_55	TLL43_opera_contig_348284_provirus_4636_59002	SPMP		5	2339	1993	1638	1566	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	2672	5_2339	#3cb44b
TLL106_152932__0_partial_1_47	TLL106_152932__0_partial_1	SPMP		5	2349	2001	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2349	#3cb44b
TLL39_opera_contig_224690_provirus_131346_178658_20	TLL39_opera_contig_224690_provirus_131346_178658	SPMP		5	2354	2003	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	189	5_2354	#3cb44b
TLL102_opera_contig_232_42	TLL102_opera_contig_232	SPMP		1	1488	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	1_1488	#e6194B
TLL7_opera_contig_35_22	TLL7_opera_contig_35	SPMP		1	1518	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1518	#e6194B
TLL28_opera_contig_136_44	TLL28_opera_contig_136	SPMP		1	1487	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	1_1487	#e6194B
TLL63_opera_contig_3_provirus_244_36759_46	TLL63_opera_contig_3_provirus_244_36759	SPMP		5	2343	1997	1639	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	696	5_2343	#3cb44b
TLL102_opera_contig_238_27	TLL102_opera_contig_238	SPMP		1	1487	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	1_1487	#e6194B
TLL74_36__full_60	TLL74_36__full	SPMP		1	1494	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1494	#e6194B
TLL73_opera_contig_51_27	TLL73_opera_contig_51	SPMP		1	1526	1323	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1526	#e6194B
IMGVR_10031994_11	IMGVR_10031994	Heliusvirales	Xiheviridae	673	1538	1334	1124	1080	1038	996	960	922	879	841	806	775	738	581	409	223	20	Heliusvirales_1538	#9A6324
TLL31_opera_contig_327791_provirus_612965_661020_37	TLL31_opera_contig_327791_provirus_612965_661020	SPMP		1	1518	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1518	#e6194B
TLL38_opera_contig_190_provirus_11949_57282_45	TLL38_opera_contig_190_provirus_11949_57282	SPMP		5	2346	1999	1640	1567	1498	1427	1361	1291	1219	1155	1097	1038	983	721	469	234	696	5_2346	#3cb44b
IMGVR_15654663_14	IMGVR_15654663	Heliusvirales	Utuviridae	1	1503	1313	1114	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1503	#9A6324
TLL96_opera_contig_204431_provirus_130767_176376_43	TLL96_opera_contig_204431_provirus_130767_176376	SPMP		45	1480	1297	1108	1068	1027	986	951	914	872	834	800	771	735	579	408	223	20	45_1480	#dcbeff
GPD_49663_61	GPD_49663	Heliusvirales	Xiheviridae	1	1485	1302	1111	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1485	#9A6324
GPD_142079_75	GPD_142079	Heliusvirales	Xiheviridae	673	1541	1337	1127	1083	1041	999	963	924	881	843	807	776	738	581	409	223	20	Heliusvirales_1541	#9A6324
IMGVR_427903_20	IMGVR_427903	Heliusvirales	Hathorviridae	1	1509	1315	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1509	#9A6324
TLL14_59__full_1_16	TLL14_59__full_1	SPMP		1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1523	#e6194B
IMGVR_15529299_37	IMGVR_15529299	Heliusvirales	Aineviridae	1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1523	#9A6324
TLL28_opera_contig_45_provirus_38355_86150_34	TLL28_opera_contig_45_provirus_38355_86150	SPMP		1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1523	#e6194B
TLL21_opera_contig_119_22	TLL21_opera_contig_119	SPMP		1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1523	#e6194B
TLL31_300__full_1_53	TLL31_300__full_1	SPMP		1	1497	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1497	#e6194B
TLL3_opera_contig_354_25	TLL3_opera_contig_354	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1768	#00fa9a
IMGVR_9086353_39	IMGVR_9086353	Heliusvirales	Utuviridae	262	1464	1285	1098	1058	1018	977	942	907	865	827	793	764	729	578	408	223	20	Heliusvirales_1464	#9A6324
TLL40_opera_contig_198495_provirus_221330_286447_30	TLL40_opera_contig_198495_provirus_221330_286447	SPMP		45	1481	1298	1108	1068	1027	986	951	914	872	834	800	771	735	579	408	223	20	45_1481	#dcbeff
IMGVR_8653577_21	IMGVR_8653577	Heliusvirales	Hunahpuviridae	816	1466	1287	1100	1060	1020	979	944	909	867	829	795	766	731	579	408	223	20	Heliusvirales_1466	#9A6324
TLL106_opera_contig_106_48	TLL106_opera_contig_106	SPMP		1	1513	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1513	#e6194B
TLL106_opera_contig_155842_provirus_24905_89457_47	TLL106_opera_contig_155842_provirus_24905_89457	SPMP		45	1481	1298	1108	1068	1027	986	951	914	872	834	800	771	735	579	408	223	20	45_1481	#dcbeff
TLL30_opera_contig_605_33	TLL30_opera_contig_605	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1768	#00fa9a
TLL99_160010__0_partial_89	TLL99_160010__0_partial	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1530	#e6194B
TLL73_opera_contig_156113_39	TLL73_opera_contig_156113	SPMP		45	1481	1298	1108	1068	1027	986	951	914	872	834	800	771	735	579	408	223	20	45_1481	#dcbeff
TLL31_opera_contig_324665_provirus_90382_121976_33	TLL31_opera_contig_324665_provirus_90382_121976	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1768	#00fa9a
TLL59_opera_contig_122167_provirus_145473_206394_44	TLL59_opera_contig_122167_provirus_145473_206394	SPMP		1	1525	1322	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1525	#e6194B
IMGVR_15535003_29	IMGVR_15535003	Heliusvirales	Hathorviridae	45	1481	1298	1108	1068	1027	986	951	914	872	834	800	771	735	579	408	223	20	Heliusvirales_1481	#9A6324
NatCom_59659_33	NatCom_59659	Heliusvirales	Utuviridae	1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	Heliusvirales_1530	#9A6324
TLL65_opera_contig_20_provirus_29077_137181_29	TLL65_opera_contig_20_provirus_29077_137181	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1530	#e6194B
TLL44_opera_contig_192_30	TLL44_opera_contig_192	SPMP		1	1518	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1518	#e6194B
TLL66_opera_contig_78_17	TLL66_opera_contig_78	SPMP		6	2419	2050	1675	1598	1526	1453	1384	1312	1238	1174	1114	1054	996	731	475	236	415	6_2419	#800000
TLL5_opera_contig_306910_provirus_40679_83071_29	TLL5_opera_contig_306910_provirus_40679_83071	SPMP		6	2418	2050	1675	1598	1526	1453	1384	1312	1238	1174	1114	1054	996	731	475	236	415	6_2418	#800000
TLL67_opera_contig_197237_provirus_390007_436819_28	TLL67_opera_contig_197237_provirus_390007_436819	SPMP		1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1498	#e6194B
TLL102_opera_contig_250_34	TLL102_opera_contig_250	SPMP		1	1486	1303	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	20	1_1486	#e6194B
TLL9_opera_contig_30268_provirus_217260_276238_33	TLL9_opera_contig_30268_provirus_217260_276238	SPMP		1	1527	1324	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	20	1_1527	#e6194B
TLL54_opera_contig_185654_provirus_188817_234102_34	TLL54_opera_contig_185654_provirus_188817_234102	SPMP		6	2418	2050	1675	1598	1526	1453	1384	1312	1238	1174	1114	1054	996	731	475	236	415	6_2418	#800000
IMGVR_4225519_28	IMGVR_4225519	Heliusvirales	Utuviridae	1	1536	1332	1122	1078	1036	994	958	920	877	839	804	773	736	579	408	223	20	Heliusvirales_1536	#9A6324
TLL48_95__full_1_29	TLL48_95__full_1	SPMP		6	2418	2050	1675	1598	1526	1453	1384	1312	1238	1174	1114	1054	996	731	475	236	415	6_2418	#800000
TLL77_opera_contig_105037_provirus_124853_186488_28	TLL77_opera_contig_105037_provirus_124853_186488	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	20	1_1495	#e6194B
IMGVR_10151772_57	IMGVR_10151772	Heliusvirales	Utuviridae	993	1450	1272	1087	1048	1009	969	934	900	858	821	788	760	725	576	408	223	20	Heliusvirales_1450	#9A6324
TLL5_307559__0_partial_1_21	TLL5_307559__0_partial_1	SPMP		13	1764	1528	1285	1236	1190	1137	1093	1042	991	945	900	861	817	626	424	224	3254	13_1764	#00fa9a
IMGVR_10030144_21	IMGVR_10030144	Heliusvirales	Aineviridae	817	1474	1293	1104	1064	1024	983	948	912	870	832	798	769	733	579	408	223	20	Heliusvirales_1474	#9A6324
TLL16_opera_contig_210923_provirus_45914_70876_20	TLL16_opera_contig_210923_provirus_45914_70876	SPMP		13	1769	1532	1287	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1769	#00fa9a
0322_k141_75823_29	0322_k141_75823	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1767	#000000
0991_k141_46427_25	0991_k141_46427	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1767	#000000
0890_k141_19971_36	0890_k141_19971	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	Tsurumiviridae_1767	#000000
TLL5_305399__0_partial_1_24	TLL5_305399__0_partial_1	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	210	13_1767	#00fa9a
TLL16_opera_contig_212435_provirus_9323_50652_38	TLL16_opera_contig_212435_provirus_9323_50652	SPMP		3	623	537	446	433	419	404	386	374	356	339	328	317	301	240	176	113	1710	3_623	#ffe119
TLL48_opera_contig_182_provirus_5359_38081_20	TLL48_opera_contig_182_provirus_5359_38081	SPMP		13	1770	1533	1288	1238	1192	1139	1095	1044	993	945	900	861	817	626	424	224	210	13_1770	#00fa9a
TLL41_192100__0_partial_1_24	TLL41_192100__0_partial_1	SPMP		13	1763	1527	1284	1235	1189	1137	1093	1042	991	945	900	861	817	626	424	224	210	13_1763	#00fa9a
TLL49_opera_contig_253436_provirus_48063_98520_28	TLL49_opera_contig_253436_provirus_48063_98520	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	163	45_1479	#dcbeff
TLL23_opera_contig_160663_provirus_1_48599_39	TLL23_opera_contig_160663_provirus_1_48599	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	163	45_1479	#dcbeff
TLL79_opera_contig_167145_provirus_37320_79676_28	TLL79_opera_contig_167145_provirus_37320_79676	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	163	45_1479	#dcbeff
TLL102_opera_contig_414065_provirus_87153_134123_37	TLL102_opera_contig_414065_provirus_87153_134123	SPMP		6	2419	2050	1675	1598	1526	1453	1384	1312	1238	1174	1114	1054	996	731	475	236	415	6_2419	#800000
OLZB01000065.1_98	OLZB01000065.1	Benler	Flandersviridae	183	418	362	300	291	281	272	258	248	238	228	223	217	207	170	126	84	554	Flandersviridae_418	#000075
OMFN01000064.1_6	OMFN01000064.1	Benler	Flandersviridae	183	418	362	300	291	281	272	258	248	238	228	223	217	207	170	126	84	554	Flandersviridae_418	#000075
