gene	votu_id	dataset	Family	VFC	VC60	VC65	VC70	VC71	VC72	VC73	VC74	VC75	VC76	VC77	VC78	VC79	VC80	VC85	VC90	VC95	PC	itol_label	itol_color
MZ130498_68	MZ130498	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_468	#4363d8
MZ130496_25	MZ130496	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_468	#4363d8
MZ130500_82	MZ130500	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_468	#4363d8
TLL96_opera_contig_111_31	TLL96_opera_contig_111	SPMP		2	1820	1574	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1820	#f58231
TLL94_opera_contig_144_38	TLL94_opera_contig_144	SPMP		2	1809	1565	1311	1259	1210	1157	1112	1060	1008	958	913	871	827	631	426	225	52	2_1809	#f58231
TLL88_352764__full_1_29	TLL88_352764__full_1	SPMP		2	1817	1573	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1817	#f58231
TLL43_1__0_partial_1_52	TLL43_1__0_partial_1	SPMP		16	1796	1557	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	16_1796	#9acd32
TLL74_opera_contig_231637_provirus_345717_393819_45	TLL74_opera_contig_231637_provirus_345717_393819	SPMP		2	1819	1573	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1819	#f58231
TLL56_opera_contig_161443_provirus_608132_660322_44	TLL56_opera_contig_161443_provirus_608132_660322	SPMP		16	1797	1557	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	16_1797	#9acd32
TLL30_opera_contig_356227_provirus_181935_257810_79	TLL30_opera_contig_356227_provirus_181935_257810	SPMP		2	1815	1571	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1815	#f58231
1503_k141_56389_38	1503_k141_56389	J4Dfams	Okuboviridae	16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	Okuboviridae_1795	#2f4f4f
1472_k141_19642_33	1472_k141_19642	J4Dfams	Okuboviridae	16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	Okuboviridae_1795	#2f4f4f
1447_k141_55668_31	1447_k141_55668	J4Dfams	Okuboviridae	16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	Okuboviridae_1795	#2f4f4f
TLL106_opera_contig_76_37	TLL106_opera_contig_76	SPMP		16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	16_1795	#9acd32
TLL10_145442__full_1_28	TLL10_145442__full_1	SPMP		16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	16_1795	#9acd32
TLL43_opera_contig_101_38	TLL43_opera_contig_101	SPMP		2	1809	1565	1311	1259	1210	1157	1112	1060	1008	958	913	871	827	631	426	225	52	2_1809	#f58231
TLL29_opera_contig_163146_provirus_344353_392311_39	TLL29_opera_contig_163146_provirus_344353_392311	SPMP		2	1815	1571	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1815	#f58231
TLL42_opera_contig_64010_provirus_26839_74293_35	TLL42_opera_contig_64010_provirus_26839_74293	SPMP		16	1795	1556	1307	1256	1208	1155	1110	1058	1006	956	911	870	826	631	426	225	52	16_1795	#9acd32
TLL95_115756__full_1_37	TLL95_115756__full_1	SPMP		2	1819	1573	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1819	#f58231
TLL70_opera_contig_161725_provirus_170393_216781_28	TLL70_opera_contig_161725_provirus_170393_216781	SPMP		2	1819	1573	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1819	#f58231
TLL105_100041__0_partial_1_36	TLL105_100041__0_partial_1	SPMP		2	1821	1575	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1821	#f58231
TLL9_30271__full_1_98	TLL9_30271__full_1	SPMP		2	1821	1575	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1821	#f58231
TLL9_opera_contig_30271_provirus_50224_110725_42	TLL9_opera_contig_30271_provirus_50224_110725	SPMP		2	1821	1575	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1821	#f58231
TLL88_opera_contig_347651_provirus_399097_450829_37	TLL88_opera_contig_347651_provirus_399097_450829	SPMP		2	1811	1567	1313	1261	1212	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1811	#f58231
TLL10_opera_contig_66_43	TLL10_opera_contig_66	SPMP		2	1811	1567	1313	1261	1212	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1811	#f58231
TLL34_opera_contig_46_provirus_30544_88846_42	TLL34_opera_contig_46_provirus_30544_88846	SPMP		2	1801	1559	1308	1257	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1801	#f58231
TLL30_opera_contig_308_38	TLL30_opera_contig_308	SPMP		2	1811	1567	1313	1261	1212	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1811	#f58231
TLL105_opera_contig_49_35	TLL105_opera_contig_49	SPMP		2	1807	1563	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1807	#f58231
TLL89_opera_contig_117_15	TLL89_opera_contig_117	SPMP		2	1807	1563	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1807	#f58231
TLL79_opera_contig_44_33	TLL79_opera_contig_44	SPMP		2	1807	1563	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1807	#f58231
TLL83_opera_contig_2_provirus_167535_226906_37	TLL83_opera_contig_2_provirus_167535_226906	SPMP		2	1805	1562	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1805	#f58231
TLL82_opera_contig_183_31	TLL82_opera_contig_183	SPMP		2	1806	1563	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1806	#f58231
TLL16_opera_contig_97_39	TLL16_opera_contig_97	SPMP		2	1805	1562	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1805	#f58231
TLL66_opera_contig_216489_provirus_492484_543080_48	TLL66_opera_contig_216489_provirus_492484_543080	SPMP		2	1808	1564	1310	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1808	#f58231
TLL80_opera_contig_154_provirus_28186_75647_41	TLL80_opera_contig_154_provirus_28186_75647	SPMP		2	1810	1566	1312	1260	1211	1158	1113	1061	1009	959	914	871	827	631	426	225	52	2_1810	#f58231
TLL48_183__full_1_39	TLL48_183__full_1	SPMP		2	1810	1566	1312	1260	1211	1158	1113	1061	1009	959	914	871	827	631	426	225	52	2_1810	#f58231
TLL88_352763__full_1_38	TLL88_352763__full_1	SPMP		2	1816	1572	1316	1264	1215	1161	1115	1063	1010	960	914	871	827	631	426	225	52	2_1816	#f58231
TLL40_opera_contig_197064_provirus_1_47272_37	TLL40_opera_contig_197064_provirus_1_47272	SPMP		2	1812	1568	1314	1262	1213	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1812	#f58231
TLL35_opera_contig_69_35	TLL35_opera_contig_69	SPMP		2	1812	1568	1314	1262	1213	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1812	#f58231
TLL76_opera_contig_28_provirus_14743_66872_30	TLL76_opera_contig_28_provirus_14743_66872	SPMP		2	1803	1561	1309	1258	1209	1156	1111	1059	1007	957	912	871	827	631	426	225	52	2_1803	#f58231
TLL35_opera_contig_71_33	TLL35_opera_contig_71	SPMP		2	1812	1568	1314	1262	1213	1159	1113	1061	1009	959	914	871	827	631	426	225	52	2_1812	#f58231
TLL74_opera_contig_228_24	TLL74_opera_contig_228	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1725	#808000
TLL86_opera_contig_54_37	TLL86_opera_contig_54	SPMP		2	1810	1566	1312	1260	1211	1158	1113	1061	1009	959	914	871	827	631	426	225	52	2_1810	#f58231
TLL107_opera_contig_62_34	TLL107_opera_contig_62	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1725	#808000
TLL68_opera_contig_28_26	TLL68_opera_contig_28	SPMP		10	1025	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1025	#aaffc3
TLL85_opera_contig_82663_provirus_79_56661_23	TLL85_opera_contig_82663_provirus_79_56661	SPMP		10	1026	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1026	#aaffc3
TLL46_opera_contig_115217_provirus_16928_82282_81	TLL46_opera_contig_115217_provirus_16928_82282	SPMP		10	1025	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1025	#aaffc3
TLL66_opera_contig_48_19	TLL66_opera_contig_48	SPMP		10	1025	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1025	#aaffc3
TLL92_opera_contig_134378_provirus_393617_461581_21	TLL92_opera_contig_134378_provirus_393617_461581	SPMP		10	1028	888	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1028	#aaffc3
TLL102_opera_contig_250_38	TLL102_opera_contig_250	SPMP		1	1486	1303	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	2	1_1486	#e6194B
TLL51_opera_contig_276819_provirus_49718_108369_28	TLL51_opera_contig_276819_provirus_49718_108369	SPMP		10	1022	885	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1022	#aaffc3
TLL36_opera_contig_51_57	TLL36_opera_contig_51	SPMP		10	1026	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1026	#aaffc3
TLL6_opera_contig_191544_provirus_69737_116367_34	TLL6_opera_contig_191544_provirus_69737_116367	SPMP		12	1725	1493	1256	1208	1163	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1725	#808000
TLL81_opera_contig_61_75	TLL81_opera_contig_61	SPMP		10	1022	885	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1022	#aaffc3
TLL14_opera_contig_43_48	TLL14_opera_contig_43	SPMP		10	1026	886	752	725	701	680	656	634	606	582	564	547	521	423	305	182	323	10_1026	#aaffc3
TLL10_opera_contig_29_134	TLL10_opera_contig_29	SPMP		10	1031	891	755	728	704	683	658	636	607	583	565	547	521	423	305	182	323	10_1031	#aaffc3
2819_k141_304_26	2819_k141_304	J4Dfams	Tsurumiviridae	35	1775	1537	1291	1241	1195	1142	1098	1046	995	947	902	862	818	626	424	224	2	Tsurumiviridae_1775	#000000
OLZB01000065.1_41	OLZB01000065.1	Benler	Flandersviridae	183	418	362	300	291	281	272	258	248	238	228	223	217	207	170	126	84	100	Flandersviridae_418	#000075
TLL23_opera_contig_160663_provirus_1_48599_42	TLL23_opera_contig_160663_provirus_1_48599	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	2	45_1479	#dcbeff
TLL79_opera_contig_167145_provirus_37320_79676_31	TLL79_opera_contig_167145_provirus_37320_79676	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	2	45_1479	#dcbeff
TLL49_opera_contig_253436_provirus_48063_98520_24	TLL49_opera_contig_253436_provirus_48063_98520	SPMP		45	1479	1296	1107	1067	1026	985	950	914	872	834	800	771	735	579	408	223	2	45_1479	#dcbeff
TLL5_307559__0_partial_1_24	TLL5_307559__0_partial_1	SPMP		13	1764	1528	1285	1236	1190	1137	1093	1042	991	945	900	861	817	626	424	224	2	13_1764	#00fa9a
TLL31_opera_contig_327791_provirus_612965_661020_32	TLL31_opera_contig_327791_provirus_612965_661020	SPMP		1	1518	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1518	#e6194B
TLL29_opera_contig_177_25	TLL29_opera_contig_177	SPMP		12	1724	1492	1255	1207	1162	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1724	#808000
1229_k141_16905_26	1229_k141_16905	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1766	#000000
TLL47_opera_contig_74_28	TLL47_opera_contig_74	SPMP		13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1766	#00fa9a
TLL38_opera_contig_224_27	TLL38_opera_contig_224	SPMP		13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1766	#00fa9a
1148_k141_13247_29	1148_k141_13247	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1766	#000000
1116_k141_52041_28	1116_k141_52041	J4Dfams	Tsurumiviridae	13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1766	#000000
TLL36_opera_contig_151999_provirus_605111_640292_26	TLL36_opera_contig_151999_provirus_605111_640292	SPMP		13	1766	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1766	#00fa9a
TLL3_opera_contig_354_22	TLL3_opera_contig_354	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1768	#00fa9a
TLL30_opera_contig_605_36	TLL30_opera_contig_605	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1768	#00fa9a
TLL31_opera_contig_324665_provirus_90382_121976_36	TLL31_opera_contig_324665_provirus_90382_121976	SPMP		13	1768	1531	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1768	#00fa9a
0890_k141_19971_33	0890_k141_19971	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1767	#000000
TLL5_306037__0_partial_1_19	TLL5_306037__0_partial_1	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1765	#00fa9a
0322_k141_75823_26	0322_k141_75823	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1767	#000000
0991_k141_46427_22	0991_k141_46427	J4Dfams	Tsurumiviridae	13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	Tsurumiviridae_1767	#000000
TLL48_opera_contig_324_29	TLL48_opera_contig_324	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1767	#00fa9a
TLL5_305399__0_partial_1_27	TLL5_305399__0_partial_1	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1767	#00fa9a
TLL31_opera_contig_527_24	TLL31_opera_contig_527	SPMP		13	1767	1530	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1767	#00fa9a
TLL41_192100__0_partial_1_27	TLL41_192100__0_partial_1	SPMP		13	1763	1527	1284	1235	1189	1137	1093	1042	991	945	900	861	817	626	424	224	2	13_1763	#00fa9a
TLL20_opera_contig_95_19	TLL20_opera_contig_95	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1765	#00fa9a
TLL46_115215__0_partial_1_23	TLL46_115215__0_partial_1	SPMP		13	1765	1529	1286	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1765	#00fa9a
TLL83_232403__0_partial_1_5	TLL83_232403__0_partial_1	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	2	13_1760	#00fa9a
TLL48_opera_contig_1_provirus_423179_437675_3	TLL48_opera_contig_1_provirus_423179_437675	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	2	13_1760	#00fa9a
TLL97_opera_contig_855_20	TLL97_opera_contig_855	SPMP		13	1760	1525	1283	1234	1188	1136	1092	1041	990	944	899	861	817	626	424	224	2	13_1760	#00fa9a
TLL48_opera_contig_182_provirus_5359_38081_24	TLL48_opera_contig_182_provirus_5359_38081	SPMP		13	1770	1533	1288	1238	1192	1139	1095	1044	993	945	900	861	817	626	424	224	2	13_1770	#00fa9a
TLL16_opera_contig_210923_provirus_45914_70876_17	TLL16_opera_contig_210923_provirus_45914_70876	SPMP		13	1769	1532	1287	1237	1191	1138	1094	1043	992	945	900	861	817	626	424	224	2	13_1769	#00fa9a
IMGVR_1647945_53	IMGVR_1647945	Heliusvirales	Hunahpuviridae	816	1467	1288	1101	1061	1021	980	945	910	868	830	796	767	731	579	408	223	2	Heliusvirales_1467	#9A6324
TLL51_opera_contig_277201_provirus_6974_52218_40	TLL51_opera_contig_277201_provirus_6974_52218	SPMP		1	1482	1299	1109	1069	1028	987	952	915	873	835	801	772	736	579	408	223	2	1_1482	#e6194B
TLL43_opera_contig_349128_51	TLL43_opera_contig_349128	SPMP		1	1497	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1497	#e6194B
TLL77_opera_contig_105037_provirus_124853_186488_31	TLL77_opera_contig_105037_provirus_124853_186488	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1495	#e6194B
IMGVR_15639783_58	IMGVR_15639783	Heliusvirales	Aineviridae	1	1534	1330	1120	1076	1034	992	956	918	875	837	802	772	736	579	408	223	2	Heliusvirales_1534	#9A6324
TLL67_opera_contig_197237_provirus_390007_436819_31	TLL67_opera_contig_197237_provirus_390007_436819	SPMP		1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1498	#e6194B
TLL59_opera_contig_122167_provirus_145473_206394_47	TLL59_opera_contig_122167_provirus_145473_206394	SPMP		1	1525	1322	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1525	#e6194B
TLL97_308852__0_partial_1_31	TLL97_308852__0_partial_1	SPMP		12	1724	1492	1255	1207	1162	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1724	#808000
TLL22_opera_contig_114_26	TLL22_opera_contig_114	SPMP		12	1724	1492	1255	1207	1162	1113	1070	1020	970	925	882	846	803	619	424	224	2	12_1724	#808000
TLL54_opera_contig_185590_provirus_36955_79899_31	TLL54_opera_contig_185590_provirus_36955_79899	SPMP		2	1813	1569	1315	1263	1214	1160	1114	1062	1010	960	914	871	827	631	426	225	52	2_1813	#f58231
TLL57_opera_contig_231620_provirus_65003_110240_28	TLL57_opera_contig_231620_provirus_65003_110240	SPMP		2	1813	1569	1315	1263	1214	1160	1114	1062	1010	960	914	871	827	631	426	225	52	2_1813	#f58231
TLL13_opera_contig_140_28	TLL13_opera_contig_140	SPMP		1	1488	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	2	1_1488	#e6194B
TLL13_opera_contig_224816_provirus_368103_409073_24	TLL13_opera_contig_224816_provirus_368103_409073	SPMP		13	1763	1527	1284	1235	1189	1137	1093	1042	991	945	900	861	817	626	424	224	2	13_1763	#00fa9a
TLL65_opera_contig_110209_provirus_38366_84130_12	TLL65_opera_contig_110209_provirus_38366_84130	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1495	#e6194B
IMGVR_6239616_69	IMGVR_6239616	Heliusvirales	Utuviridae	992	1449	1271	1086	1047	1008	968	933	899	857	820	787	759	724	576	408	223	2	Heliusvirales_1449	#9A6324
TLL34_opera_contig_43_provirus_376_91308_79	TLL34_opera_contig_43_provirus_376_91308	SPMP		1	1526	1323	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1526	#e6194B
IMGVR_15654663_18	IMGVR_15654663	Heliusvirales	Utuviridae	1	1503	1313	1114	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	Heliusvirales_1503	#9A6324
TLL74_36__full_87	TLL74_36__full	SPMP		1	1494	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1494	#e6194B
TLL9_29381__0_partial_20	TLL9_29381__0_partial	SPMP		1	1535	1331	1121	1077	1035	993	957	919	876	838	803	772	736	579	408	223	2	1_1535	#e6194B
TLL99_160010__0_partial_92	TLL99_160010__0_partial	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1530	#e6194B
TLL9_opera_contig_30268_provirus_217260_276238_26	TLL9_opera_contig_30268_provirus_217260_276238	SPMP		1	1527	1324	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1527	#e6194B
TLL87_opera_contig_245_39	TLL87_opera_contig_245	SPMP		1	1495	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1495	#e6194B
TLL73_opera_contig_51_22	TLL73_opera_contig_51	SPMP		1	1526	1323	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1526	#e6194B
TLL90_opera_contig_98946_provirus_588986_650365_24	TLL90_opera_contig_98946_provirus_588986_650365	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1530	#e6194B
NatCom_59659_30	NatCom_59659	Heliusvirales	Utuviridae	1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	Heliusvirales_1530	#9A6324
TLL33_opera_contig_259_18	TLL33_opera_contig_259	SPMP		1	1499	1309	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1499	#e6194B
TLL65_opera_contig_20_provirus_29077_137181_111	TLL65_opera_contig_20_provirus_29077_137181	SPMP		1	1530	1326	1117	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1530	#e6194B
IMGVR_4225519_32	IMGVR_4225519	Heliusvirales	Utuviridae	1	1536	1332	1122	1078	1036	994	958	920	877	839	804	773	736	579	408	223	2	Heliusvirales_1536	#9A6324
IMGVR_10151772_54	IMGVR_10151772	Heliusvirales	Utuviridae	993	1450	1272	1087	1048	1009	969	934	900	858	821	788	760	725	576	408	223	2	Heliusvirales_1450	#9A6324
TLL44_opera_contig_192_27	TLL44_opera_contig_192	SPMP		1	1518	1317	1115	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1518	#e6194B
IMGVR_15526565_40	IMGVR_15526565	Heliusvirales	Utuviridae	1	1532	1328	1118	1074	1032	990	954	917	874	836	801	772	736	579	408	223	2	Heliusvirales_1532	#9A6324
TLL102_opera_contig_238_31	TLL102_opera_contig_238	SPMP		1	1487	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	2	1_1487	#e6194B
IMGVR_10030144_18	IMGVR_10030144	Heliusvirales	Aineviridae	817	1474	1293	1104	1064	1024	983	948	912	870	832	798	769	733	579	408	223	2	Heliusvirales_1474	#9A6324
TLL28_opera_contig_136_39	TLL28_opera_contig_136	SPMP		1	1487	1304	1112	1071	1029	988	953	916	874	836	801	772	736	579	408	223	2	1_1487	#e6194B
TLL88_opera_contig_50_provirus_1_47440_32	TLL88_opera_contig_50_provirus_1_47440	SPMP		1	1498	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1498	#e6194B
IMGVR_15529299_34	IMGVR_15529299	Heliusvirales	Aineviridae	1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	Heliusvirales_1523	#9A6324
TLL21_opera_contig_119_25	TLL21_opera_contig_119	SPMP		1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1523	#e6194B
TLL31_300__full_1_48	TLL31_300__full_1	SPMP		1	1497	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1497	#e6194B
TLL22_174239__full_47	TLL22_174239__full	SPMP		1	1494	1308	1113	1072	1030	989	953	916	874	836	801	772	736	579	408	223	2	1_1494	#e6194B
