mag_id	mag_len	has_crispr	sample_id	domain	phylum	class	order	family	genus	species	perc_abun
TLL02_bin.78	2938734	0	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B gnavus	1.3393298517872323
TLL02_bin.79	2119335	0	TLL2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	19.53249802092401
TLL02_bin.8	741737	0	TLL2	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp900343095	1.7371209858344536
TLL02_bin.80	1834269	0	TLL2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	0.2486792630840939
TLL02_bin.83	2823969	0	TLL2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	0.7930449404447162
TLL03_bin.1	2564341	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_H	9.360921987746067
TLL03_bin.101	3019389	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia hominis	0.5632914333125962
TLL03_bin.102	2626753	0	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A indistinctus	0.3048255334696117
TLL03_bin.104	3163707	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	Clostridium_A leptum	2.4077170028516903
TLL03_bin.11	2119528	1	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia_A	Slackia_A isoflavoniconvertens	0.5723997401024647
TLL03_bin.110	3242721	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	15.514120200040049
TLL03_bin.112	2148260	0	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	1.0856564692541937
TLL03_bin.117	3130115	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	1.402114103864887
TLL03_bin.118	3691119	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_I	Eubacterium_I	0.181814533340951
TLL03_bin.119	1939658	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter welbionis	0.3361191488198398
TLL03_bin.120	2763976	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens	0.6476798209150846
TLL03_bin.121	2500495	0	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	0.3589788061684553
TLL03_bin.123	2866913	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381	CAG-41	CAG-41 sp900066215	0.4235374359766951
TLL03_bin.124	2872348	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000434315	0.3233463825181567
TLL03_bin.128	1826706	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp003526955	1.4708773211167103
TLL03_bin.130	2049437	0	TLL3	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A	0.7074939962228123
TLL03_bin.14	2246081	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1375	UMGS1375 sp900066615	1.5156040639227586
TLL03_bin.17	2911481	0	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900240235	0.5586640492723987
TLL03_bin.19	2500044	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii_A	0.3265944207759978
TLL03_bin.2	2834082	1	TLL3	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	1.919631904800252
TLL03_bin.20	1922225	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335	2.7397450975556934
TLL03_bin.21	1626537	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus_A	1.889427968752088
TLL03_bin.22	2044469	0	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	0.2657590298750134
TLL03_bin.23	3039163	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066135	GCA-900066135 sp900543575	0.3651230580988763
TLL03_bin.28	2549109	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	5.440417625277081
TLL03_bin.30	1506153	1	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	Senegalimassilia anaerobia	0.2461034624475494
TLL03_bin.32	2689240	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp000435995	0.5468832543830183
TLL03_bin.39	1889175	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp000434635	0.3308492737934075
TLL03_bin.4	875338	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	1.3110878592862092
TLL03_bin.43	1832016	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NK3B98	NK3B98 sp900545815	0.2766680338237978
TLL03_bin.46	2698035	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900545925	0.4314099896813831
TLL03_bin.48	3415120	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985	0.6831362623064533
TLL03_bin.49	1415316	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_C	1.3161508735746568
TLL03_bin.51	2574005	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp003491505	0.5360212316145385
TLL03_bin.54	2299600	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160	UBA7160	0.2071908167647081
TLL03_bin.55	2298559	0	TLL3	Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UMGS1590	UMGS1590 sp900552455	0.8812642702099774
TLL03_bin.56	3442432	1	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella copri_A	6.525721706969587
TLL03_bin.57	2087508	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191	UBA1191 sp900549125	0.3491497566340073
TLL03_bin.58	1960081	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia sp004556345	1.3483368676440943
TLL03_bin.60	2201046	0	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900542825	2.9737577151206
TLL03_bin.61	1404543	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp003478765	0.4121077269259023
TLL03_bin.63	2337218	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	2.783839722515928
TLL03_bin.64	2253206	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp900543555	0.3822709425195554
TLL03_bin.66	5733786	0	TLL3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	0.1763743645220424
TLL03_bin.67	2029953	0	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella	0.7398182750704242
TLL03_bin.69	3220436	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	1.0069207007903271
TLL03_bin.7	1856940	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp000432375	0.6408257584408609
TLL03_bin.71	2042295	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes	1.4337556897424015
TLL03_bin.72	1632445	0	TLL3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp900538545	0.3822564175434462
TLL03_bin.74	1965904	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp000765235	2.089231945022512
TLL03_bin.75	2076180	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900539945	0.7022298911873429
TLL03_bin.77	2999566	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066365	1.6212177577248714
TLL03_bin.8	1751611	0	TLL3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	0.2060684311501428
TLL03_bin.80	1952568	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900545585	0.8092110106978029
TLL03_bin.81	2765973	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_A	Ruminococcus_A sp000437095	1.815277376368709
TLL03_bin.83	2989279	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea longicatena	3.462342953638473
TLL03_bin.84	3003779	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus_A	Coprococcus_A catus	0.4781677447702986
TLL03_bin.85	2277946	1	TLL3	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp000417505	2.0432186390208726
TLL03_bin.86	2491060	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000433215	0.3381921585179836
TLL03_bin.89	2347243	1	TLL3	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium mitsuokai	3.1356125531007506
TLL03_bin.9	1648654	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	0.5156805860438058
TLL03_bin.91	2678418	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_A	Ruminococcus_A sp003011855	0.8569263273440588
TLL03_bin.93	2054529	1	TLL3	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	3.025771601077176
TLL03_bin.94	2015038	0	TLL3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900066555	0.2287287199597037
TLL03_bin.98	2530887	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	1.5947551190112454
TLL03_bin.99	2408015	1	TLL3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E siraeum	0.3240303165792944
TLL04_bin.10	2106854	1	TLL4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-279	CAG-279 sp000437795	1.188016776046907
TLL04_bin.100	2423314	0	TLL4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes obesi	1.2139678464078845
TLL04_bin.102	1366445	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C sp000433635	2.597522700502888
TLL04_bin.104	1321066	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000436835	0.5515638793231187
TLL04_bin.106	1277679	0	TLL4	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp900544455	0.4045450807539092
TLL04_bin.107	1990779	1	TLL4	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp900554215	0.5618338536915412
TLL04_bin.108	2128929	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp000765235	8.329444483494921
TLL04_bin.113	2183430	1	TLL4	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2.554784094282927
TLL04_bin.114	2050303	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	CAG-180 sp000432435	0.972070039419792
TLL04_bin.115	2176390	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_D	4.06590671401604
TLL04_bin.117	5044153	0	TLL4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae	7.907406015143501
TLL04_bin.118	2919359	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	2.0037780119463724
TLL04_bin.120	1891406	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900543625	1.04039923909308
TLL04_bin.13	1277055	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp003514385	4.920703424453113
TLL04_bin.14	3460607	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A massiliensis	1.5206661010021538
TLL04_bin.15	2747028	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	1.578503251618986
TLL04_bin.19	1772879	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens	0.5207585351504107
TLL04_bin.23	2046443	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	0.9872775991861666
TLL04_bin.25	1128639	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E bromii_B	1.2394671035331837
TLL04_bin.26	2560158	1	TLL4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	0.4252946817277946
TLL04_bin.27	1814877	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_C	1.388725098160657
TLL04_bin.29	1794382	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp001916855	1.6305204700529596
TLL04_bin.3	1608020	1	TLL4	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium mitsuokai	4.708176818497841
TLL04_bin.31	2220725	1	TLL4	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp000417505	8.14166295850546
TLL04_bin.33	2860236	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	3.3285194235507367
TLL04_bin.34	2486953	1	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	Ruminococcus_D bicirculans	0.7068313123215401
TLL04_bin.39	1752068	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp000435555	1.488962738453825
TLL04_bin.43	3069610	1	TLL4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila	1.9473580821116456
TLL04_bin.44	2948579	1	TLL4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900290275	1.0020044513322728
TLL04_bin.5	2151522	1	TLL4	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	9.0738338558246
TLL04_bin.50	2745476	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985	0.4771121732458447
TLL04_bin.60	1685079	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp900547385	1.2662007832778357
TLL04_bin.62	2195733	0	TLL4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp900539625	0.7916249841807816
TLL04_bin.66	1735524	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia sp004556345	0.7523881628096039
TLL04_bin.68	2413369	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp002404795	3.421674315818201
TLL04_bin.70	3056022	0	TLL4	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	1.2740940180938125
TLL04_bin.75	2127112	0	TLL4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	0.6038167022220087
