vir_id	vir_len	sample_id	contig_id	start_bp	end_bp	contig_len	mag_id
TLL1_453461__full	5886	TLL1	k99_453461	1	5886	5886	
TLL1_454388__full	5402	TLL1	k99_454388	1	5402	5402	
TLL1_460896__full	5208	TLL1	k99_460896	1	5208	5208	
TLL1_469197__full	7304	TLL1	k99_469197	1	7304	7304	
TLL1_493888__full	11211	TLL1	k99_493888	1	11211	11211	
TLL1_516981__full	26419	TLL1	k99_516981	1	26419	26419	
TLL1_524333__full	5152	TLL1	k99_524333	1	5152	5152	
TLL1_544042__full	5580	TLL1	k99_544042	1	5580	5580	
TLL1_545581__full	6006	TLL1	k99_545581	1	6006	6006	
TLL1_565400__full	5203	TLL1	k99_565400	1	5203	5203	
TLL1_569450__full	8599	TLL1	k99_569450	1	8599	8599	
TLL1_570162__full	13474	TLL1	k99_570162	1	13474	13474	
TLL1_604988__full	8127	TLL1	k99_604988	1	8127	8127	
TLL1_610879__full	6168	TLL1	k99_610879	1	6168	6168	
TLL1_617880__full	8524	TLL1	k99_617880	1	8524	8524	
TLL1_620043__full	5326	TLL1	k99_620043	1	5326	5326	
TLL1_635802__full	9724	TLL1	k99_635802	1	9724	9724	
TLL1_641318__full	6078	TLL1	k99_641318	1	6078	6078	
TLL1_646109__full	6159	TLL1	k99_646109	1	6159	6159	
TLL1_648163__full	5896	TLL1	k99_648163	1	5896	5896	
TLL1_664013__full	5667	TLL1	k99_664013	1	5667	5667	
TLL1_667495__full	5340	TLL1	k99_667495	1	5340	5340	
TLL1_685066__full	10665	TLL1	k99_685066	1	10665	10665	
TLL1_736671__full	6685	TLL1	k99_736671	1	6685	6685	
TLL1_742621__full	9374	TLL1	k99_742621	1	9374	9374	
TLL1_744657__full	5077	TLL1	k99_744657	1	5077	5077	
TLL1_778237__full	8816	TLL1	k99_778237	1	8816	8816	
TLL1_790829__full	5419	TLL1	k99_790829	1	5419	5419	
TLL1_795326__full	5344	TLL1	k99_795326	1	5344	5344	
TLL1_802052__full	5374	TLL1	k99_802052	1	5374	5374	
TLL2_48363__0_partial_1	9154	TLL2	k99_48363	1	9154	39683	
TLL2_74584__full_1	12285	TLL2	k99_74584	793	13077	13077	
TLL2_258000__full_1	7761	TLL2	k99_258000	18708	26468	26468	
TLL2_163840__full_1	16205	TLL2	k99_163840	1	16205	24089	
TLL2_205145__full_1	11577	TLL2	k99_205145	1	11577	21831	
TLL2_195811__full_1	8131	TLL2	k99_195811	3735	11865	11865	
TLL2_29881__full_1	13638	TLL2	k99_29881	1	13638	21961	
TLL2_59387__full_1	6204	TLL2	k99_59387	1515	7718	7718	
TLL2_125796__full_1	23460	TLL2	k99_125796	1	23460	27103	
TLL2_230388__full_1	5631	TLL2	k99_230388	1	5631	22987	
TLL2_114160__0_partial	27258	TLL2	k99_114160	14281	41538	42064	
TLL2_2218__full	15036	TLL2	k99_2218	1	15036	15036	
TLL2_24873__full	10998	TLL2	k99_24873	1	10998	10998	
TLL2_268879__full	13506	TLL2	k99_268879	1	13506	13506	
TLL2_342007__full	17759	TLL2	k99_342007	1	17759	17759	
TLL2_360724__full	8482	TLL2	k99_360724	1	8482	8482	
TLL2_45098__full	12756	TLL2	k99_45098	1	12756	12756	
TLL2_70723__full	11095	TLL2	k99_70723	1	11095	11095	
TLL2_82707__full	11953	TLL2	k99_82707	1	11953	11953	
TLL2_153645__full	20890	TLL2	k99_153645	1	20890	20890	
TLL2_207649__full	17845	TLL2	k99_207649	1	17845	17845	
TLL2_282833__full	9951	TLL2	k99_282833	1	9951	9951	
TLL2_60522__full	6999	TLL2	k99_60522	1	6999	6999	
TLL2_173451__full	10475	TLL2	k99_173451	1	10475	10475	
TLL2_1679__full	9851	TLL2	k99_1679	1	9851	9851	
TLL2_17884__full	11668	TLL2	k99_17884	1	11668	11668	
TLL2_159346__full	29002	TLL2	k99_159346	1	29002	29002	
TLL2_164846__full	6072	TLL2	k99_164846	1	6072	6072	
TLL2_239435__full	5485	TLL2	k99_239435	1	5485	5485	
TLL2_317178__full	42779	TLL2	k99_317178	1	42779	42779	
TLL2_28331__full	8126	TLL2	k99_28331	1	8126	8126	
TLL2_55299__full	5658	TLL2	k99_55299	1	5658	5658	
TLL2_108216__full	5330	TLL2	k99_108216	1	5330	5330	
TLL2_7723__full	11310	TLL2	k99_7723	1	11310	11310	
TLL2_159807__full	6614	TLL2	k99_159807	1	6614	6614	
TLL2_510623__full	5763	TLL2	k99_510623	1	5763	5763	
TLL2_16554__full	6735	TLL2	k99_16554	1	6735	6735	
TLL2_71996__full	5513	TLL2	k99_71996	1	5513	5513	
TLL2_158623__full	5968	TLL2	k99_158623	1	5968	5968	
TLL2_97726__full	9763	TLL2	k99_97726	1	9763	9763	
TLL2_183685__full	6293	TLL2	k99_183685	1	6293	6293	
TLL2_317414__full	5445	TLL2	k99_317414	1	5445	5445	
TLL2_76909__full	18194	TLL2	k99_76909	1	18194	18194	
TLL2_169169__full	6114	TLL2	k99_169169	1	6114	6114	
TLL2_5564__full	10423	TLL2	k99_5564	1	10423	10423	
TLL2_9332__full	24511	TLL2	k99_9332	1	24511	24511	
TLL2_10845__full	20083	TLL2	k99_10845	1	20083	20083	
TLL2_19562__full	40672	TLL2	k99_19562	1	40672	40672	
TLL2_140900__full	20367	TLL2	k99_140900	1	20367	20367	
TLL2_180411__full	13866	TLL2	k99_180411	1	13866	13866	
TLL2_338464__full	13411	TLL2	k99_338464	1	13411	13411	
TLL2_524164__full	8260	TLL2	k99_524164	1	8260	8260	
TLL2_263176__full	6455	TLL2	k99_263176	1	6455	6455	
TLL2_88497__full	5511	TLL2	k99_88497	1	5511	5511	
TLL2_60263__full	21483	TLL2	k99_60263	1	21483	21483	
TLL2_290681__full	5703	TLL2	k99_290681	1	5703	5703	
TLL2_20964__full	6974	TLL2	k99_20964	1	6974	6974	
TLL2_104616__full	22721	TLL2	k99_104616	1	22721	22721	
TLL2_108447__full	7887	TLL2	k99_108447	1	7887	7887	
TLL2_109389__full	5323	TLL2	k99_109389	1	5323	5323	
TLL2_111563__full	12854	TLL2	k99_111563	1	12854	12854	
TLL2_131706__full	5056	TLL2	k99_131706	1	5056	5056	
TLL2_139224__full	5726	TLL2	k99_139224	1	5726	5726	
TLL2_164435__full	13292	TLL2	k99_164435	1	13292	13292	
TLL2_305220__full	8499	TLL2	k99_305220	1	8499	8499	
TLL2_325321__full	10353	TLL2	k99_325321	1	10353	10353	
TLL2_445433__full	12108	TLL2	k99_445433	1	12108	12108	
TLL2_330090__full	7840	TLL2	k99_330090	1	7840	7840	
TLL2_8697__full	5833	TLL2	k99_8697	1	5833	5833	
TLL2_9229__full	11217	TLL2	k99_9229	1	11217	11217	
TLL2_20786__full	7873	TLL2	k99_20786	1	7873	7873	
TLL2_21956__full	5103	TLL2	k99_21956	1	5103	5103	
TLL2_23698__full	8951	TLL2	k99_23698	1	8951	8951	
TLL2_23905__full	8680	TLL2	k99_23905	1	8680	8680	
TLL2_26578__full	5079	TLL2	k99_26578	1	5079	5079	
TLL2_27431__full	9119	TLL2	k99_27431	1	9119	9119	
TLL2_29165__full	16054	TLL2	k99_29165	1	16054	16054	
TLL2_31532__full	10125	TLL2	k99_31532	1	10125	10125	
TLL2_44722__full	9754	TLL2	k99_44722	1	9754	9754	
TLL2_57470__full	20565	TLL2	k99_57470	1	20565	20565	
TLL2_58086__full	15183	TLL2	k99_58086	1	15183	15183	
TLL2_60758__full	6004	TLL2	k99_60758	1	6004	6004	
TLL2_71457__full	5088	TLL2	k99_71457	1	5088	5088	
TLL2_75984__full	11946	TLL2	k99_75984	1	11946	11946	
TLL2_79501__full	8988	TLL2	k99_79501	1	8988	8988	
TLL2_79550__full	9156	TLL2	k99_79550	1	9156	9156	
TLL2_80286__full	5886	TLL2	k99_80286	1	5886	5886	
TLL2_82438__lt2gene	5403	TLL2	k99_82438	1	5403	5403	
TLL2_84666__full	6752	TLL2	k99_84666	1	6752	6752	
TLL2_86546__full	9998	TLL2	k99_86546	1	9998	9998	
TLL2_88130__full	9660	TLL2	k99_88130	1	9660	9660	
TLL2_91688__full	6264	TLL2	k99_91688	1	6264	6264	
TLL2_93086__full	22302	TLL2	k99_93086	1	22302	22302	
TLL2_97261__full	10266	TLL2	k99_97261	1	10266	10266	
TLL2_102011__full	7004	TLL2	k99_102011	1	7004	7004	
TLL2_106304__full	6453	TLL2	k99_106304	1	6453	6453	
TLL2_109265__full	10520	TLL2	k99_109265	1	10520	10520	
TLL2_124623__full	13877	TLL2	k99_124623	1	13877	13877	
TLL2_132688__full	27055	TLL2	k99_132688	1	27055	27055	
TLL2_138570__full	10405	TLL2	k99_138570	1	10405	10405	
TLL2_146390__full	6749	TLL2	k99_146390	1	6749	6749	
TLL2_146951__full	14452	TLL2	k99_146951	1	14452	14452	
TLL2_151657__full	8353	TLL2	k99_151657	1	8353	8353	
TLL2_155023__full	10623	TLL2	k99_155023	1	10623	10623	
TLL2_157286__full	10495	TLL2	k99_157286	1	10495	10495	
TLL2_157908__full	16942	TLL2	k99_157908	1	16942	16942	
TLL2_159258__full	6974	TLL2	k99_159258	1	6974	6974	
TLL2_166321__full	5157	TLL2	k99_166321	1	5157	5157	
TLL2_175671__full	9850	TLL2	k99_175671	1	9850	9850	
TLL2_192806__full	6069	TLL2	k99_192806	1	6069	6069	
TLL2_195362__full	8640	TLL2	k99_195362	1	8640	8640	
TLL2_197763__full	5122	TLL2	k99_197763	1	5122	5122	
TLL2_216359__full	5209	TLL2	k99_216359	1	5209	5209	
TLL2_221810__full	5501	TLL2	k99_221810	1	5501	5501	
TLL2_230192__full	6381	TLL2	k99_230192	1	6381	6381	
TLL2_233474__full	26050	TLL2	k99_233474	1	26050	26050	
TLL2_239952__full	10392	TLL2	k99_239952	1	10392	10392	
TLL2_249579__full	8155	TLL2	k99_249579	1	8155	8155	
TLL2_249833__full	5332	TLL2	k99_249833	1	5332	5332	
TLL2_253818__full	14915	TLL2	k99_253818	1	14915	14915	
TLL2_260008__full	6512	TLL2	k99_260008	1	6512	6512	
TLL2_260298__full	6851	TLL2	k99_260298	1	6851	6851	
TLL2_270772__full	5676	TLL2	k99_270772	1	5676	5676	
TLL2_272427__full	5016	TLL2	k99_272427	1	5016	5016	
TLL2_274341__full	6090	TLL2	k99_274341	1	6090	6090	
TLL2_284727__full	5943	TLL2	k99_284727	1	5943	5943	
TLL2_294798__full	17848	TLL2	k99_294798	1	17848	17848	
TLL2_299168__full	17916	TLL2	k99_299168	1	17916	17916	
TLL2_306129__full	5342	TLL2	k99_306129	1	5342	5342	
TLL2_323203__full	9442	TLL2	k99_323203	1	9442	9442	
TLL2_329725__full	7280	TLL2	k99_329725	1	7280	7280	
TLL2_333741__full	5896	TLL2	k99_333741	1	5896	5896	
TLL2_339211__full	24015	TLL2	k99_339211	1	24015	24015	
TLL2_383988__full	5160	TLL2	k99_383988	1	5160	5160	
TLL2_385428__full	6360	TLL2	k99_385428	1	6360	6360	
TLL2_386375__full	7765	TLL2	k99_386375	1	7765	7765	
TLL2_430717__full	8188	TLL2	k99_430717	1	8188	8188	
TLL2_485411__full	14495	TLL2	k99_485411	1	14495	14495	
TLL2_506038__full	5001	TLL2	k99_506038	1	5001	5001	
TLL3_15509__0_partial_1	10490	TLL3	k99_15509	33653	44142	44142	
TLL3_186246__full_1	8004	TLL3	k99_186246	1	8004	14525	
TLL3_45976__full_1	7252	TLL3	k99_45976	1991	9242	9242	
TLL3_85214__full_1	26031	TLL3	k99_85214	11291	37321	50824	
TLL3_9832__full_1	25403	TLL3	k99_9832	42446	67848	67848	
TLL3_69859__full_1	12770	TLL3	k99_69859	1	12770	28047	
TLL3_219933__full_1	6146	TLL3	k99_219933	421	6566	6566	
TLL3_207008__full_1	13253	TLL3	k99_207008	5682	18934	28464	
TLL3_298654__full_1	9282	TLL3	k99_298654	1	9282	17423	
TLL3_51317__full_1	18462	TLL3	k99_51317	1	18462	29111	
TLL3_298557__full_1	6496	TLL3	k99_298557	1	6496	13258	
TLL3_16079__full_1	36112	TLL3	k99_16079	10267	46378	46378	
TLL3_33503__full_1	17880	TLL3	k99_33503	1	17880	23037	
TLL3_93946__full_1	11386	TLL3	k99_93946	4411	15796	15796	
TLL3_102007__full_1	21083	TLL3	k99_102007	16232	37314	37314	
TLL3_109140__full_1	36095	TLL3	k99_109140	1	36095	39113	
TLL3_406609__full_1	7695	TLL3	k99_406609	2046	9740	9740	
TLL3_396864__full_1	5370	TLL3	k99_396864	2684	8053	8053	
TLL3_59033__full_1	6515	TLL3	k99_59033	4981	11495	11495	
TLL3_88043__full_1	9221	TLL3	k99_88043	1	9221	21442	
TLL3_165761__full_1	15927	TLL3	k99_165761	7687	23613	23613	
TLL3_23156__full_1	13008	TLL3	k99_23156	1	13008	15117	
TLL3_39371__full_1	5200	TLL3	k99_39371	1	5200	12317	
TLL3_56669__full_1	26688	TLL3	k99_56669	1	26688	29550	
TLL3_155772__full_1	12639	TLL3	k99_155772	1991	14629	14629	
TLL3_184224__full_1	10081	TLL3	k99_184224	1	10081	14981	
TLL3_188947__full_1	5878	TLL3	k99_188947	1	5878	6840	
TLL3_225956__full_1	5104	TLL3	k99_225956	1	5104	6493	
TLL3_225762__0_partial	7632	TLL3	k99_225762	2886	10517	13797	
TLL3_48292__full	22590	TLL3	k99_48292	1	22590	22590	
TLL3_58349__full	13694	TLL3	k99_58349	1	13694	13694	
TLL3_224337__full	9814	TLL3	k99_224337	1	9814	9814	
TLL3_89204__full	10539	TLL3	k99_89204	1	10539	10539	
TLL3_19450__full	6552	TLL3	k99_19450	1	6552	6552	
TLL3_42019__full	15236	TLL3	k99_42019	1	15236	15236	
TLL3_325312__full	13697	TLL3	k99_325312	1	13697	13697	
TLL3_26818__full	6490	TLL3	k99_26818	1	6490	6490	
TLL3_17140__full	5741	TLL3	k99_17140	1	5741	5741	
TLL3_34773__full	8863	TLL3	k99_34773	1	8863	8863	
TLL3_238281__full	9090	TLL3	k99_238281	1	9090	9090	
TLL3_379041__full	8082	TLL3	k99_379041	1	8082	8082	
TLL3_116595__full	5400	TLL3	k99_116595	1	5400	5400	
TLL3_16366__full	10072	TLL3	k99_16366	1	10072	10072	
TLL3_64986__full	9276	TLL3	k99_64986	1	9276	9276	
TLL3_114457__full	13294	TLL3	k99_114457	1	13294	13294	
TLL3_137424__full	5816	TLL3	k99_137424	1	5816	5816	
TLL3_164947__full	31520	TLL3	k99_164947	1	31520	31520	
TLL3_170993__full	20590	TLL3	k99_170993	1	20590	20590	
TLL3_172823__full	8969	TLL3	k99_172823	1	8969	8969	
TLL3_218562__full	10515	TLL3	k99_218562	1	10515	10515	
TLL3_226374__full	8475	TLL3	k99_226374	1	8475	8475	
TLL3_228031__full	10946	TLL3	k99_228031	1	10946	10946	
TLL3_395470__full	12882	TLL3	k99_395470	1	12882	12882	
TLL3_248881__full	8719	TLL3	k99_248881	1	8719	8719	
TLL3_66033__full	12406	TLL3	k99_66033	1	12406	12406	
TLL3_400043__full	14302	TLL3	k99_400043	1	14302	14302	
TLL3_133366__full	16235	TLL3	k99_133366	1	16235	16235	
TLL3_51866__full	6890	TLL3	k99_51866	1	6890	6890	
TLL3_302171__full	5073	TLL3	k99_302171	1	5073	5073	
TLL3_108585__full	9843	TLL3	k99_108585	1	9843	9843	
TLL3_143656__full	5596	TLL3	k99_143656	1	5596	5596	
TLL3_335034__full	6575	TLL3	k99_335034	1	6575	6575	
TLL3_96394__full	6454	TLL3	k99_96394	1	6454	6454	
TLL3_42884__full	9186	TLL3	k99_42884	1	9186	9186	
TLL3_183298__full	7971	TLL3	k99_183298	1	7971	7971	
TLL3_5630__full	23328	TLL3	k99_5630	1	23328	23328	
TLL3_91104__full	21539	TLL3	k99_91104	1	21539	21539	
TLL3_229054__full	17549	TLL3	k99_229054	1	17549	17549	
TLL3_314247__full	10874	TLL3	k99_314247	1	10874	10874	
TLL3_3430__full	5877	TLL3	k99_3430	1	5877	5877	
TLL3_94954__full	6188	TLL3	k99_94954	1	6188	6188	
TLL3_60415__full	5328	TLL3	k99_60415	1	5328	5328	
TLL3_63155__full	12127	TLL3	k99_63155	1	12127	12127	
TLL3_109376__full	6559	TLL3	k99_109376	1	6559	6559	
TLL3_264942__full	12761	TLL3	k99_264942	1	12761	12761	
TLL3_137945__full	5324	TLL3	k99_137945	1	5324	5324	
TLL3_16614__full	12681	TLL3	k99_16614	1	12681	12681	
TLL3_81008__full	6666	TLL3	k99_81008	1	6666	6666	
TLL3_101958__full	7275	TLL3	k99_101958	1	7275	7275	
TLL3_179872__full	5632	TLL3	k99_179872	1	5632	5632	
TLL3_104220__full	5519	TLL3	k99_104220	1	5519	5519	
TLL3_156752__full	11874	TLL3	k99_156752	1	11874	11874	
TLL3_5327__full	9018	TLL3	k99_5327	1	9018	9018	
TLL3_85521__full	8730	TLL3	k99_85521	1	8730	8730	
TLL3_160006__full	7451	TLL3	k99_160006	1	7451	7451	
TLL3_209264__full	7603	TLL3	k99_209264	1	7603	7603	
TLL3_47720__full	5112	TLL3	k99_47720	1	5112	5112	
TLL3_242534__full	11470	TLL3	k99_242534	1	11470	11470	
TLL3_324185__full	25747	TLL3	k99_324185	1	25747	25747	
TLL3_38410__full	12491	TLL3	k99_38410	1	12491	12491	
TLL3_108129__full	11619	TLL3	k99_108129	1	11619	11619	
TLL3_22157__full	5345	TLL3	k99_22157	1	5345	5345	
TLL3_55445__full	9864	TLL3	k99_55445	1	9864	9864	
TLL3_213028__full	5449	TLL3	k99_213028	1	5449	5449	
TLL3_234337__full	19778	TLL3	k99_234337	1	19778	19778	
TLL3_287285__full	14737	TLL3	k99_287285	1	14737	14737	
TLL3_295149__full	6710	TLL3	k99_295149	1	6710	6710	
TLL3_355548__full	6169	TLL3	k99_355548	1	6169	6169	
TLL3_407236__full	5340	TLL3	k99_407236	1	5340	5340	
TLL3_84513__full	5897	TLL3	k99_84513	1	5897	5897	
TLL3_113654__full	6697	TLL3	k99_113654	1	6697	6697	
TLL3_277931__full	27870	TLL3	k99_277931	1	27870	27870	
TLL3_144778__full	7577	TLL3	k99_144778	1	7577	7577	
TLL3_366396__full	9588	TLL3	k99_366396	1	9588	9588	
TLL3_383699__full	5035	TLL3	k99_383699	1	5035	5035	
TLL3_29206__full	17164	TLL3	k99_29206	1	17164	17164	
TLL3_53180__full	8525	TLL3	k99_53180	1	8525	8525	
TLL3_96835__full	5382	TLL3	k99_96835	1	5382	5382	
TLL3_109349__full	5132	TLL3	k99_109349	1	5132	5132	
TLL3_241221__full	5902	TLL3	k99_241221	1	5902	5902	
TLL3_285876__full	21313	TLL3	k99_285876	1	21313	21313	
TLL3_145006__full	5289	TLL3	k99_145006	1	5289	5289	
TLL3_175405__full	10207	TLL3	k99_175405	1	10207	10207	
TLL3_208526__full	5032	TLL3	k99_208526	1	5032	5032	
TLL3_53516__full	5723	TLL3	k99_53516	1	5723	5723	
TLL3_70677__full	9418	TLL3	k99_70677	1	9418	9418	
TLL3_958__full	10120	TLL3	k99_958	1	10120	10120	
TLL3_3026__full	5470	TLL3	k99_3026	1	5470	5470	
TLL3_7330__full	12535	TLL3	k99_7330	1	12535	12535	
TLL3_7653__full	6384	TLL3	k99_7653	1	6384	6384	
TLL3_9734__full	6071	TLL3	k99_9734	1	6071	6071	
TLL3_11733__full	7947	TLL3	k99_11733	1	7947	7947	
TLL3_13295__full	15670	TLL3	k99_13295	1	15670	15670	
TLL3_13472__full	28022	TLL3	k99_13472	1	28022	28022	
TLL3_14300__full	6861	TLL3	k99_14300	1	6861	6861	
TLL3_14601__full	6902	TLL3	k99_14601	1	6902	6902	
