contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TLL1_k99_79425	5529	No	NA	14	4	0	Low-quality	Genome-fragment	14.03	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_94192	10000	No	NA	13	7	0	Low-quality	Genome-fragment	20.82	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_94947	6938	No	NA	11	10	0	Low-quality	Genome-fragment	14.89	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_101512	6380	No	NA	14	0	0	Low-quality	Genome-fragment	16.27	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_101548	20467	No	NA	27	16	0	Low-quality	Genome-fragment	43.11	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_102983	8898	No	NA	15	13	0	Low-quality	Genome-fragment	19.58	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_105363	23547	No	NA	39	16	1	Low-quality	Genome-fragment	26.12	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_118026	7330	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_122597	8894	No	NA	9	4	0	Low-quality	Genome-fragment	10.43	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_135898	10210	No	NA	17	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
TLL1_k99_137816	10306	No	NA	9	2	0	Low-quality	Genome-fragment	11.43	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_139873	6371	No	NA	7	1	1	Low-quality	Genome-fragment	8.83	AAI-based (medium-confidence)	0.0	1.01	
TLL1_k99_141135	20151	No	NA	22	0	2	Low-quality	Genome-fragment	15.83	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_153550	15387	No	NA	25	3	0	Low-quality	Genome-fragment	38.11	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_158711	5646	No	NA	10	2	0	Low-quality	Genome-fragment	15.21	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_165195	5395	No	NA	10	5	0	Low-quality	Genome-fragment	12.45	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_170503	8593	No	NA	16	3	1	Low-quality	Genome-fragment	11.67	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_192929	14762	No	NA	11	1	2	Low-quality	Genome-fragment	35.35	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_192960	7499	No	NA	15	3	0	Low-quality	Genome-fragment	18.34	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_198943	12410	No	NA	18	9	0	Low-quality	Genome-fragment	32.76	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_224212	8159	No	NA	12	3	0	Medium-quality	Genome-fragment	68.31	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_237624	6269	No	NA	10	4	0	Low-quality	Genome-fragment	14.71	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_240199	8916	No	NA	17	9	0	Low-quality	Genome-fragment	22.87	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_241923	6832	No	NA	4	4	0	Low-quality	Genome-fragment	17.55	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_246779	5036	Yes	3904	8	1	1	Low-quality	Genome-fragment	9.45	AAI-based (medium-confidence)	22.48	1.0	
TLL1_k99_248315	10584	No	NA	13	13	0	Low-quality	Genome-fragment	35.32	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_263177	8901	No	NA	19	4	0	Low-quality	Genome-fragment	15.89	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_267897	5868	No	NA	11	5	0	Low-quality	Genome-fragment	15.02	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_270893	10553	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_278332	6762	Yes	4850	6	1	1	Low-quality	Genome-fragment	5.38	AAI-based (high-confidence)	28.28	1.0	
TLL1_k99_282382	7635	No	NA	7	0	0	Low-quality	Genome-fragment	13.58	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_298272	32729	Yes	28464	58	7	4	Low-quality	Genome-fragment	17.01	AAI-based (high-confidence)	13.03	1.0	
TLL1_k99_300340	10597	No	NA	16	7	0	Low-quality	Genome-fragment	22.29	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_313550	23870	No	NA	28	5	0	Low-quality	Genome-fragment	14.25	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_318290	6829	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_320952	8471	No	NA	13	1	1	Low-quality	Genome-fragment	13.5	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_337916	8747	No	NA	12	6	0	Low-quality	Genome-fragment	18.32	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_352988	39247	No	NA	52	23	0	Medium-quality	Genome-fragment	89.23	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_366406	10420	No	NA	21	9	0	Low-quality	Genome-fragment	27.38	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_378578	6821	No	NA	14	2	1	Low-quality	Genome-fragment	40.63	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_382541	10584	No	NA	16	1	4	Low-quality	Genome-fragment	4.56	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_388349	7779	No	NA	8	4	0	Low-quality	Genome-fragment	20.56	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_399008	10813	No	NA	14	5	0	Medium-quality	Genome-fragment	63.49	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_399011	6024	No	NA	14	3	0	Low-quality	Genome-fragment	3.6	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_412561	6848	No	NA	5	4	0	Low-quality	Genome-fragment	12.8	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_433955	7081	No	NA	3	0	0	Low-quality	Genome-fragment	7.05	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_447281	19109	Yes	4517	15	4	4	Low-quality	Genome-fragment	8.38	AAI-based (medium-confidence)	76.36	1.0	
TLL1_k99_451277	5374	No	NA	6	1	0	Low-quality	Genome-fragment	11.78	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_453461	5886	No	NA	11	3	0	Low-quality	Genome-fragment	9.5	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_460896	5208	No	NA	11	0	0	Low-quality	Genome-fragment	2.4	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_493888	11211	No	NA	6	2	0	Low-quality	Genome-fragment	6.7	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_501431	8307	Yes	4463	13	5	2	Low-quality	Genome-fragment	9.72	AAI-based (high-confidence)	46.27	1.0	
TLL1_k99_516981	26419	No	NA	34	6	0	Medium-quality	Genome-fragment	68.8	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_524333	5152	No	NA	10	3	0	Low-quality	Genome-fragment	3.29	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_536969	6032	No	NA	7	0	0	Low-quality	Genome-fragment	12.81	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_569450	8599	No	NA	15	3	2	Low-quality	Genome-fragment	5.14	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_574900	5828	No	NA	6	0	1	Low-quality	Genome-fragment	6.99	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_604988	8127	No	NA	18	3	0	Low-quality	Genome-fragment	22.16	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_613032	6477	No	NA	12	5	0	Low-quality	Genome-fragment	14.74	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_620043	5326	No	NA	11	1	0	Low-quality	Genome-fragment	9.02	AAI-based (high-confidence)	0.0	1.01	
TLL1_k99_637386	18691	Yes	16481	29	10	2	Low-quality	Genome-fragment	35.7	AAI-based (medium-confidence)	11.82	1.0	
TLL1_k99_641318	6078	No	NA	9	3	0	Low-quality	Genome-fragment	12.83	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_646109	6159	No	NA	4	3	1	Low-quality	Genome-fragment	12.67	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_667495	5340	No	NA	7	4	0	Low-quality	Genome-fragment	11.71	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_677281	5121	Yes	3144	9	4	1	Low-quality	Genome-fragment	7.81	AAI-based (high-confidence)	38.61	1.0	
TLL1_k99_685066	10665	No	NA	13	9	0	Low-quality	Genome-fragment	26.25	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_736671	6685	No	NA	12	3	0	Low-quality	Genome-fragment	7.41	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_742621	9374	No	NA	11	1	1	Low-quality	Genome-fragment	12.82	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_756834	5818	Yes	5278	9	7	1	Low-quality	Genome-fragment	9.34	AAI-based (high-confidence)	9.28	1.0	
TLL1_k99_778237	8816	No	NA	13	12	0	Low-quality	Genome-fragment	22.41	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_795326	5344	No	NA	5	4	0	Low-quality	Genome-fragment	13.22	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_802052	5374	No	NA	9	8	0	Low-quality	Genome-fragment	13.06	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_124515_provirus_34999_42187	7189	No	NA	7	1	0	Low-quality	Genome-fragment	4.93	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_2218	15036	No	NA	11	0	0	Low-quality	Genome-fragment	39.85	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_268879	13506	No	NA	18	12	0	Low-quality	Genome-fragment	38.44	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_342007	17759	No	NA	30	3	0	Low-quality	Genome-fragment	47.08	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_360724	8482	No	NA	7	5	0	Low-quality	Genome-fragment	20.85	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_15407	7721	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_45098	12756	No	NA	15	6	0	Low-quality	Genome-fragment	16.87	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_62921	8027	No	NA	13	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_70723	11095	No	NA	15	1	0	Low-quality	Genome-fragment	24.5	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_82707	11953	No	NA	22	1	1	Low-quality	Genome-fragment	27.91	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_153645	20890	No	NA	24	2	0	Low-quality	Genome-fragment	46.48	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_207649	17845	No	NA	21	11	0	Low-quality	Genome-fragment	47.63	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_304584	8268	No	NA	8	0	1	Low-quality	Genome-fragment	9.0	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_65618	10329	No	NA	12	0	0	Low-quality	Genome-fragment	9.75	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_81065	11762	No	NA	16	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_94060	9072	Yes	3373	9	1	2	Low-quality	Genome-fragment	3.01	HMM-based (lower-bound)	62.82	1.0	
TLL2_k99_253094	5520	No	NA	11	0	1	Low-quality	Genome-fragment	4.81	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_17884	11668	No	NA	18	3	0	Low-quality	Genome-fragment	21.79	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_159346	29002	No	NA	47	5	0	Medium-quality	Genome-fragment	54.2	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_317178	42779	No	NA	57	21	1	Medium-quality	Genome-fragment	67.64	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_55299	5658	No	NA	13	0	0	Low-quality	Genome-fragment	12.17	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_74584	13077	Yes	12285	8	1	1	Low-quality	Genome-fragment	7.07	HMM-based (lower-bound)	6.06	1.03	
TLL2_k99_108216	5330	No	NA	5	0	0	Low-quality	Genome-fragment	12.7	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_7723	11310	No	NA	18	3	1	Low-quality	Genome-fragment	30.55	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_145055	6921	No	NA	13	0	1	Low-quality	Genome-fragment	14.92	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_159807	6614	No	NA	14	3	0	Low-quality	Genome-fragment	14.57	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_510623	5763	No	NA	9	5	1	Low-quality	Genome-fragment	13.58	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_84824	6646	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_175107	5036	No	NA	5	0	3	Low-quality	Genome-fragment	4.48	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_16554	6735	No	NA	15	1	0	Low-quality	Genome-fragment	20.43	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_80923	9970	No	NA	21	0	1	Low-quality	Genome-fragment	15.05	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_158623	5968	No	NA	13	1	0	Low-quality	Genome-fragment	8.73	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_183685	6293	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_76909	18194	No	NA	19	10	0	Medium-quality	Genome-fragment	52.06	AAI-based (medium-confidence)	0.0	1.01	
TLL2_k99_169169	6114	No	NA	11	1	0	Low-quality	Genome-fragment	12.03	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_5564	10423	No	NA	16	12	0	Low-quality	Genome-fragment	21.87	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_9332	24511	No	NA	22	7	0	Low-quality	Genome-fragment	27.1	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_10845	20083	No	NA	26	21	1	Low-quality	Genome-fragment	46.7	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_19562	40672	No	NA	63	17	1	Low-quality	Genome-fragment	45.15	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_140900	20367	No	NA	30	23	0	Medium-quality	Genome-fragment	53.22	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_180411	13866	No	NA	23	14	0	Low-quality	Genome-fragment	31.43	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_242890	6402	No	NA	6	2	0	Low-quality	Genome-fragment	7.08	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_338464	13411	No	NA	18	10	0	Low-quality	Genome-fragment	30.19	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_524164	8260	No	NA	12	8	0	Low-quality	Genome-fragment	21.0	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_6651	14243	No	NA	14	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_60263	21483	No	NA	26	9	1	Medium-quality	Genome-fragment	53.72	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_456738	7921	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_39065	11764	No	NA	18	1	2	Low-quality	Genome-fragment	6.23	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_53929	16196	No	NA	18	0	2	Low-quality	Genome-fragment	6.64	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_104616	22721	No	NA	18	3	0	Low-quality	Genome-fragment	10.37	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_109389	5323	No	NA	4	1	0	Low-quality	Genome-fragment	2.51	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_111563	12854	No	NA	15	3	0	Low-quality	Genome-fragment	5.5	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_139224	5726	No	NA	7	1	0	Low-quality	Genome-fragment	2.7	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_164435	13292	No	NA	29	3	0	Low-quality	Genome-fragment	8.73	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_195811	11865	Yes	8131	18	3	2	Low-quality	Genome-fragment	3.22	HMM-based (lower-bound)	31.47	1.0	
TLL2_k99_325321	10353	No	NA	4	1	0	Low-quality	Genome-fragment	4.4	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_350386	8778	No	NA	9	0	1	Low-quality	Genome-fragment	3.88	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_384770	12964	No	NA	16	2	3	Low-quality	Genome-fragment	5.5	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_330090	7840	No	NA	14	9	0	Low-quality	Genome-fragment	18.68	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_8697	5833	No	NA	11	1	0	Low-quality	Genome-fragment	3.24	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_9229	11217	No	NA	15	6	2	Low-quality	Genome-fragment	24.07	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_12102	7335	No	NA	9	1	1	Low-quality	Genome-fragment	9.04	HMM-based (lower-bound)	0.0	1.0	
TLL2_k99_22143	5492	No	NA	7	0	1	Low-quality	Genome-fragment	5.79	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_22213	6087	No	NA	9	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_23698	8951	No	NA	17	3	0	Low-quality	Genome-fragment	15.24	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_23905	8680	No	NA	11	5	1	Low-quality	Genome-fragment	20.66	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_24280	7237	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_26578	5079	No	NA	7	1	0	Low-quality	Genome-fragment	9.24	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_29165	16054	No	NA	28	9	0	Low-quality	Genome-fragment	41.83	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_31532	10125	No	NA	16	5	0	Low-quality	Genome-fragment	22.36	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_44722	9754	No	NA	15	1	1	Low-quality	Genome-fragment	22.77	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_57470	20565	No	NA	28	10	1	Low-quality	Genome-fragment	43.71	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_60758	6004	No	NA	10	9	0	Low-quality	Genome-fragment	15.42	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_61617	8367	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_67517	12743	No	NA	17	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_75984	11946	No	NA	7	2	1	Low-quality	Genome-fragment	17.56	AAI-based (medium-confidence)	0.0	1.0	
TLL2_k99_77892	7220	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL2_k99_79501	8988	No	NA	20	3	1	Low-quality	Genome-fragment	14.4	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_79550	9156	No	NA	19	5	0	Low-quality	Genome-fragment	18.43	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_86546	9998	No	NA	15	1	0	Low-quality	Genome-fragment	11.37	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_88130	9660	No	NA	18	2	0	Low-quality	Genome-fragment	24.11	AAI-based (high-confidence)	0.0	1.0	
TLL2_k99_91812	7031	No	NA	13	0	0	Low-quality	Genome-fragment	3.24	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL2_k99_93086	22302	No	NA	41	11	1	Medium-quality	Genome-fragment	68.79	AAI-based (high-confidence)	0.0	1.0	
