seq_id_hyb	seq_len_hyb	votu95_id	sample_id_hyb	seq_id_sr	seq_len_sr	sample_id_sr	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
TLL2_105__full_1	40585	hyb_TLL2_105__full_1	2	TLL2_k99_88130	9660	2	TLL2_105__full_1	1	40585	68013	39506	97.3414	221.772	39.2	59.8
TLL2_152080__0_partial	58894	hyb_TLL2_152080__0_partial	2	TLL2_k99_299168	17916	2	TLL2_152080__0_partial	1	58894	72940	58894	100.0	157.512	39.6	60.0
TLL2_152292__0_partial_1	43499	hyb_TLL2_152292__0_partial_1	2	TLL2_k99_146951	14452	2	TLL2_152292__0_partial_1	1	43499	6563	43478	99.9517	19.4866	39.5	60.0
TLL2_152292__1_partial_1	29386	hyb_TLL2_152292__1_partial_1	2	TLL2_k99_124623	13877	2	TLL2_152292__1_partial_1	1	29386	4661	29380	99.9796	20.3711	39.5	60.0
TLL2_152300__0_partial_1	42246	hyb_TLL2_152300__0_partial_1	2	TLL2_k99_10845	20083	2	TLL2_152300__0_partial_1	1	42246	6676	42128	99.7207	20.2898	39.5	60.0
TLL2_152346__0_partial	33649	hyb_TLL2_152346__0_partial	2	TLL2_k99_106304	6453	2	TLL2_152346__0_partial	1	33649	1581	24635	73.2117	6.27965	39.2	59.8
TLL2_152500__0_partial	46531	hyb_TLL2_152500__0_partial	2	TLL2_k99_75984	11946	2	TLL2_152500__0_partial	1	46531	15760	46531	100.0	42.913	39.6	60.0
TLL2_241__full	26532	hyb_TLL2_241__full	2	TLL2_97726__full	9763	2	TLL2_241__full	1	26532	2537	26439	99.6495	12.8771	39.2	59.8
TLL2_opera_contig_133_provirus_3_43805	43803	hyb_TLL2_opera_contig_133_provirus_3_43805	2	TLL2_k99_268879	13506	2	TLL2_opera_contig_133_provirus_3_43805	1	43803	16136	40090	91.5234	47.6126	39.3	60.0
TLL2_opera_contig_142	37991	hyb_TLL2_opera_contig_142	2	TLL2_k99_31532	10125	2	TLL2_opera_contig_142	1	37991	3532	36455	95.9569	11.4219	39.7	60.0
TLL2_opera_contig_150542_provirus_26842_85052	58211	hyb_TLL2_opera_contig_150542_provirus_26842_85052	2	TLL2_k99_79501	8988	2	TLL2_opera_contig_150542_provirus_26842_85052	1	58211	200558	57858	99.3936	452.759	39.3	60.0
TLL2_opera_contig_150590_provirus_238881_278774	39894	hyb_TLL2_opera_contig_150590_provirus_238881_278774	2	TLL2_k99_207649	17845	2	TLL2_opera_contig_150590_provirus_238881_278774	1	39894	9036	39816	99.8045	28.8043	39.6	60.0
TLL2_opera_contig_150618_provirus_18643_59038	40396	hyb_TLL2_opera_contig_150618_provirus_18643_59038	2	TLL2_k99_45098	12756	2	TLL2_opera_contig_150618_provirus_18643_59038	1	40396	5689	38486	95.2718	17.8407	39.6	59.2
TLL2_opera_contig_150648_provirus_56644_141166	84523	hyb_TLL2_opera_contig_150648_provirus_56644_141166	2	TLL2_k99_159346	29002	2	TLL2_opera_contig_150648_provirus_56644_141166	1	84523	11260	67798	80.2125	16.9718	39.6	59.9
TLL2_opera_contig_152128	36098	hyb_TLL2_opera_contig_152128	2	TLL2_k99_294798	17848	2	TLL2_opera_contig_152128	1	36098	4521	36000	99.7285	15.6763	39.6	60.0
TLL2_opera_contig_152328_provirus_319514_374335	54822	hyb_TLL2_opera_contig_152328_provirus_319514_374335	2	TLL2_k99_102011	7004	2	TLL2_opera_contig_152328_provirus_319514_374335	1	54822	133840	54822	100.0	313.3	39.4	60.0
TLL2_opera_contig_152486_provirus_213761_251410	37650	hyb_TLL2_opera_contig_152486_provirus_213761_251410	2	TLL2_k99_23905	8680	2	TLL2_opera_contig_152486_provirus_213761_251410	1	37650	16942	37650	100.0	57.6046	39.5	60.0
TLL2_opera_contig_153080_provirus_2_29941	29940	hyb_TLL2_opera_contig_153080_provirus_2_29941	2	TLL2_k99_146390	6749	2	TLL2_opera_contig_153080_provirus_2_29941	1	29940	10088	29924	99.9466	45.1107	39.2	60.0
TLL2_opera_contig_153106_provirus_65436_112178	46743	hyb_TLL2_opera_contig_153106_provirus_65436_112178	2	TLL2_k99_153645	20890	2	TLL2_opera_contig_153106_provirus_65436_112178	1	46743	7934	45109	96.5043	21.4273	39.6	60.0
TLL2_opera_contig_153467_provirus_2_34478	34477	hyb_TLL2_opera_contig_153467_provirus_2_34478	2	TLL2_k99_159807	6614	2	TLL2_opera_contig_153467_provirus_2_34478	1	34477	59340	34477	100.0	219.861	39.5	60.0
TLL2_opera_contig_153554_provirus_1882266_1900552	18287	hyb_TLL2_opera_contig_153554_provirus_1882266_1900552	2	TLL2_k99_109389	5323	2	TLL2_opera_contig_153554_provirus_1882266_1900552	1	18287	7235	18287	100.0	50.1362	39.6	60.0
TLL2_opera_contig_153556	113463	hyb_TLL2_opera_contig_153556	2	TLL2_k99_104616	22721	2	TLL2_opera_contig_153556	1	113463	47070	113463	100.0	53.0112	39.6	60.0
TLL2_opera_contig_153557	34240	hyb_TLL2_opera_contig_153557	2	TLL2_k99_53929	16196	2	TLL2_opera_contig_153557	1	34240	12978	34240	100.0	48.5287	39.5	60.0
TLL2_opera_contig_188	33656	hyb_TLL2_opera_contig_188	2	TLL2_k99_330090	7840	2	TLL2_opera_contig_188	1	33656	2476	33349	99.0878	9.42628	39.5	60.0
TLL2_opera_contig_2_provirus_163_240371	240209	hyb_TLL2_opera_contig_2_provirus_163_240371	2	TLL2_k99_81065	11762	2	TLL2_opera_contig_2_provirus_163_240371	1	240209	40712	240054	99.9355	21.7646	39.5	57.4
TLL2_opera_contig_2_provirus_342568_545715	203148	hyb_TLL2_opera_contig_2_provirus_342568_545715	2	TLL2_60522__full	6999	2	TLL2_opera_contig_2_provirus_342568_545715	1	203148	35872	202865	99.8607	22.5136	39.5	56.9
TLL2_opera_contig_355	23527	hyb_TLL2_opera_contig_355	2	TLL2_k99_86546	9998	2	TLL2_opera_contig_355	1	23527	3927	14013	59.5614	20.888	39.7	60.0
TLL2_opera_contig_413	24550	hyb_TLL2_opera_contig_413	2	TLL2_k99_60758	6004	2	TLL2_opera_contig_413	1	24550	1261	22248	90.6232	6.67919	39.5	60.0
TLL2_opera_contig_478	19933	hyb_TLL2_opera_contig_478	2	TLL2_k99_61617	8367	2	TLL2_opera_contig_478	1	19933	27924	19933	100.0	175.927	39.6	60.0
TLL2_opera_contig_52_provirus_1_38690	38690	hyb_TLL2_opera_contig_52_provirus_1_38690	2	TLL2_k99_506038	5001	2	TLL2_opera_contig_52_provirus_1_38690	1	38690	2034	36018	93.0938	6.76115	39.6	60.0
TLL2_opera_contig_92_provirus_2_32980	32979	hyb_TLL2_opera_contig_92_provirus_2_32980	2	TLL2_k99_29165	16054	2	TLL2_opera_contig_92_provirus_2_32980	1	32979	29064	32979	100.0	117.847	39.2	60.0
TLL3_138__full_1	57706	hyb_TLL3_138__full_1	3	TLL3_k99_114457	13294	3	TLL3_138__full_1	1	57706	19549	57706	100.0	44.4794	39.5	60.0
TLL3_143__full_1	62746	hyb_TLL3_143__full_1	3	TLL3_k99_193391	11521	3	TLL3_143__full_1	1	62746	87223	62746	100.0	184.502	39.2	60.0
TLL3_167__full_1	28737	hyb_TLL3_167__full_1	3	TLL3_k99_385926	14205	3	TLL3_167__full_1	1	28737	2768	28190	98.0965	12.5196	39.3	60.0
TLL3_191__full_1	59258	hyb_TLL3_191__full_1	3	TLL3_k99_24783	5945	3	TLL3_191__full_1	1	59258	2389	48810	82.3686	5.28972	39.4	60.0
TLL3_208898__full_1	49880	hyb_TLL3_208898__full_1	3	TLL3_k99_75300	24926	3	TLL3_208898__full_1	1	49880	18186	49880	100.0	48.9412	39.2	60.0
TLL3_211951__full_1	25566	hyb_TLL3_211951__full_1	3	TLL3_k99_131028	5776	3	TLL3_211951__full_1	1	25566	1633	24376	95.3454	8.34855	39.3	60.0
TLL3_212232__0_partial_1	37229	hyb_TLL3_212232__0_partial_1	3	TLL3_k99_29206	17164	3	TLL3_212232__0_partial_1	1	37229	15832	37229	100.0	55.3714	39.3	59.1
TLL3_213139__1_partial	20680	hyb_TLL3_213139__1_partial	3	TLL3_306578__full	7018	3	TLL3_213139__1_partial	1	20680	4588	20618	99.7002	28.7931	39.5	58.5
TLL3_213440__0_partial_1	40274	hyb_TLL3_213440__0_partial_1	3	TLL3_k99_183298	7971	3	TLL3_213440__0_partial_1	1	40274	31088	40274	100.0	101.497	39.5	60.0
TLL3_447__full_1	16827	hyb_TLL3_447__full_1	3	TLL3_k99_104220	5519	3	TLL3_447__full_1	1	16827	977	16098	95.6677	7.73489	39.2	60.0
TLL3_45__full_1	91306	hyb_TLL3_45__full_1	3	TLL3_k99_25095	5781	3	TLL3_45__full_1	1	91306	4458	79381	86.9395	6.4643	39.3	59.9
TLL3_opera_contig_113	67491	hyb_TLL3_opera_contig_113	3	TLL3_k99_200046	24157	3	TLL3_opera_contig_113	1	67491	24118	67491	100.0	46.5909	39.4	60.0
TLL3_opera_contig_121	74264	hyb_TLL3_opera_contig_121	3	TLL3_k99_40496	10536	3	TLL3_opera_contig_121	1	74264	27580	74264	100.0	48.6954	39.6	60.0
TLL3_opera_contig_1334	11745	hyb_TLL3_opera_contig_1334	3	TLL3_k99_174252	5668	3	TLL3_opera_contig_1334	1	11745	703	11615	98.8931	7.70583	39.6	60.0
TLL3_opera_contig_1780	20215	hyb_TLL3_opera_contig_1780	3	TLL3_k99_125239	6678	3	TLL3_opera_contig_1780	1	20215	5860	20178	99.817	38.1686	39.3	54.0
TLL3_opera_contig_186	49760	hyb_TLL3_opera_contig_186	3	TLL3_k99_59343	5342	3	TLL3_opera_contig_186	1	49760	40255	49758	99.996	106.23	39.3	60.0
TLL3_opera_contig_208864_provirus_53051_90196	37146	hyb_TLL3_opera_contig_208864_provirus_53051_90196	3	TLL3_k99_200427_provirus_10899_24130	13232	3	TLL3_opera_contig_208864_provirus_53051_90196	1	37146	16712	37146	100.0	58.9922	39.4	60.0
TLL3_opera_contig_209361_provirus_106526_144118	37593	hyb_TLL3_opera_contig_209361_provirus_106526_144118	3	TLL3_k99_133366	16235	3	TLL3_opera_contig_209361_provirus_106526_144118	1	37593	4016	37038	98.5237	13.8876	39.5	60.0
TLL3_opera_contig_209438_provirus_204409_222640	18232	hyb_TLL3_opera_contig_209438_provirus_204409_222640	3	TLL3_k99_78900	5273	3	TLL3_opera_contig_209438_provirus_204409_222640	1	18232	1451	18183	99.7312	10.1982	39.3	59.4
TLL3_opera_contig_209441_provirus_56830_110511	53682	hyb_TLL3_opera_contig_209441_provirus_56830_110511	3	TLL3_k99_13295	15670	3	TLL3_opera_contig_209441_provirus_56830_110511	1	53682	4683	52279	97.3865	11.4758	39.2	60.0
TLL3_opera_contig_209632_provirus_91138_139416	48279	hyb_TLL3_opera_contig_209632_provirus_91138_139416	3	TLL3_k99_63155	12127	3	TLL3_opera_contig_209632_provirus_91138_139416	1	48279	4224	48015	99.4532	11.3524	39.4	60.0
TLL3_opera_contig_209721_provirus_1_43273	43273	hyb_TLL3_opera_contig_209721_provirus_1_43273	3	TLL3_k99_42019	15236	3	TLL3_opera_contig_209721_provirus_1_43273	1	43273	7035	43225	99.8891	21.1179	39.5	60.0
TLL3_opera_contig_209986_provirus_75001_112995	37995	hyb_TLL3_opera_contig_209986_provirus_75001_112995	3	TLL3_k99_203874	9603	3	TLL3_opera_contig_209986_provirus_75001_112995	1	37995	2526	37560	98.8551	8.73939	39.5	60.0
TLL3_opera_contig_210388_provirus_3_45228	45226	hyb_TLL3_opera_contig_210388_provirus_3_45228	3	TLL3_k99_354239	9250	3	TLL3_opera_contig_210388_provirus_3_45228	1	45226	3116	40614	89.8023	9.05744	39.4	60.0
TLL3_opera_contig_212197	71511	hyb_TLL3_opera_contig_212197	3	TLL3_k99_164947	31520	3	TLL3_opera_contig_212197	1	71511	21443	71157	99.505	38.9671	39.6	60.0
TLL3_opera_contig_212231_provirus_134_37016	36883	hyb_TLL3_opera_contig_212231_provirus_134_37016	3	TLL3_k99_53180	8525	3	TLL3_opera_contig_212231_provirus_134_37016	1	36883	14436	36883	100.0	50.9055	39.4	59.1
TLL3_opera_contig_212268_provirus_419899_456072	36174	hyb_TLL3_opera_contig_212268_provirus_419899_456072	3	TLL3_k99_38410	12491	3	TLL3_opera_contig_212268_provirus_419899_456072	1	36174	18534	36174	100.0	67.7546	39.3	60.0
TLL3_opera_contig_212888_provirus_24022_53613	29592	hyb_TLL3_opera_contig_212888_provirus_24022_53613	3	TLL3_k99_238281	9090	3	TLL3_opera_contig_212888_provirus_24022_53613	1	29592	2064	29189	98.6381	9.06715	39.4	60.0
TLL3_opera_contig_213143_provirus_44837_70613	25777	hyb_TLL3_opera_contig_213143_provirus_44837_70613	3	TLL3_k99_113654	6697	3	TLL3_opera_contig_213143_provirus_44837_70613	1	25777	12626	25746	99.8797	63.5098	39.5	60.0
TLL3_opera_contig_213386_provirus_259498_311454	51957	hyb_TLL3_opera_contig_213386_provirus_259498_311454	3	TLL3_k99_16614	12681	3	TLL3_opera_contig_213386_provirus_259498_311454	1	51957	4409	51472	99.0665	11.0977	39.5	60.0
TLL3_opera_contig_213390_provirus_57574_119532	61959	hyb_TLL3_opera_contig_213390_provirus_57574_119532	3	TLL3_k99_31434	19952	3	TLL3_opera_contig_213390_provirus_57574_119532	1	61959	5593	61683	99.5545	11.8381	39.5	60.0
TLL3_opera_contig_322	38305	hyb_TLL3_opera_contig_322	3	TLL3_k99_139763	6327	3	TLL3_opera_contig_322	1	38305	4011	38222	99.7833	13.7933	39.6	60.0
TLL3_opera_contig_337	40989	hyb_TLL3_opera_contig_337	3	TLL3_k99_109527	18565	3	TLL3_opera_contig_337	1	40989	27665	40989	100.0	87.8048	39.6	60.0
TLL3_opera_contig_366	40894	hyb_TLL3_opera_contig_366	3	TLL3_k99_153793	7792	3	TLL3_opera_contig_366	1	40894	2650	39081	95.5666	8.51658	39.3	47.7
TLL3_opera_contig_385	30570	hyb_TLL3_opera_contig_385	3	TLL3_k99_264942	12761	3	TLL3_opera_contig_385	1	30570	2259	30437	99.5649	9.81374	39.4	60.0
TLL3_opera_contig_402	31715	hyb_TLL3_opera_contig_402	3	TLL3_k99_219309	6520	3	TLL3_opera_contig_402	1	31715	6147	31715	100.0	25.6085	39.2	60.0
TLL3_opera_contig_419	30423	hyb_TLL3_opera_contig_419	3	TLL3_k99_116595	5400	3	TLL3_opera_contig_419	1	30423	1532	28771	94.5699	6.90599	39.0	60.0
TLL3_opera_contig_51	102364	hyb_TLL3_opera_contig_51	3	TLL3_k99_13472	28022	3	TLL3_opera_contig_51	1	102364	9990	102144	99.7851	12.8823	39.5	60.0
TLL3_opera_contig_515	29907	hyb_TLL3_opera_contig_515	3	TLL3_k99_11733	7947	3	TLL3_opera_contig_515	1	29907	1794	27412	91.6575	7.92383	39.3	60.0
TLL3_opera_contig_650	20730	hyb_TLL3_opera_contig_650	3	TLL3_k99_108408	5720	3	TLL3_opera_contig_650	1	20730	1555	20473	98.7603	9.77091	39.5	60.0
TLL3_opera_contig_66_provirus_136_40330	40195	hyb_TLL3_opera_contig_66_provirus_136_40330	3	TLL3_k99_51866	6890	3	TLL3_opera_contig_66_provirus_136_40330	1	40195	2751	38798	96.5244	9.00229	39.4	60.0
TLL3_opera_contig_690	19457	hyb_TLL3_opera_contig_690	3	TLL3_k99_242934	7042	3	TLL3_opera_contig_690	1	19457	1422	19240	98.8847	9.7368	39.3	60.0
TLL3_opera_contig_76	88082	hyb_TLL3_opera_contig_76	3	TLL3_k99_94042	34698	3	TLL3_opera_contig_76	1	88082	32601	88082	100.0	48.7586	39.6	60.0
TLL3_opera_contig_87	90688	hyb_TLL3_opera_contig_87	3	TLL3_k99_34101	5585	3	TLL3_opera_contig_87	1	90688	5153	88656	97.7594	7.55072	39.7	60.0
TLL3_opera_contig_993	14920	hyb_TLL3_opera_contig_993	3	TLL3_169887__full	5673	3	TLL3_opera_contig_993	1	14920	1876	14920	100.0	16.4477	39.4	60.0
TLL4_186__full_1	36610	hyb_TLL4_186__full_1	4	TLL4_k99_255977	9121	4	TLL4_186__full_1	1	36610	23737	36610	100.0	83.6547	39.8	60.0
TLL4_247730__0_partial	47370	hyb_TLL4_247730__0_partial	4	TLL4_61099__full	10555	4	TLL4_247730__0_partial	1	47370	4243	47236	99.7171	11.7708	40.0	60.0
TLL4_265__full_1	33655	hyb_TLL4_265__full_1	4	TLL4_k99_182989	5099	4	TLL4_265__full_1	1	33655	21229	33655	100.0	82.3517	39.8	60.0
TLL4_75__full_1	57818	hyb_TLL4_75__full_1	4	TLL4_k99_321384	22355	4	TLL4_75__full_1	1	57818	39025	57795	99.9602	86.7547	39.8	52.7
TLL4_opera_contig_1073	15736	hyb_TLL4_opera_contig_1073	4	TLL4_k99_16315	6084	4	TLL4_opera_contig_1073	1	15736	2062	13884	88.2308	16.8376	39.8	60.0
TLL4_opera_contig_120	71106	hyb_TLL4_opera_contig_120	4	TLL4_k99_100107	9551	4	TLL4_opera_contig_120	1	71106	2507	59633	83.8649	4.63235	40.0	60.0
TLL4_opera_contig_124_provirus_20056_45752	25697	hyb_TLL4_opera_contig_124_provirus_20056_45752	4	TLL4_k99_33645	10958	4	TLL4_opera_contig_124_provirus_20056_45752	1	25697	3338	24931	97.0191	16.8536	39.7	60.0
TLL4_opera_contig_125	53566	hyb_TLL4_opera_contig_125	4	TLL4_k99_108880	14709	4	TLL4_opera_contig_125	1	53566	79091	53566	100.0	192.211	39.8	60.0
TLL4_opera_contig_1330	13466	hyb_TLL4_opera_contig_1330	4	TLL4_k99_241546	5512	4	TLL4_opera_contig_1330	1	13466	2203	11592	86.0835	21.6692	39.6	59.9
TLL4_opera_contig_166	39569	hyb_TLL4_opera_contig_166	4	TLL4_k99_341854	12535	4	TLL4_opera_contig_166	1	39569	9512	39569	100.0	32.1394	39.7	60.0
TLL4_opera_contig_180	38848	hyb_TLL4_opera_contig_180	4	TLL4_k99_5329	18651	4	TLL4_opera_contig_180	1	38848	4198	38424	98.9086	14.1099	39.8	60.0
TLL4_opera_contig_197	38320	hyb_TLL4_opera_contig_197	4	TLL4_k99_89726	11847	4	TLL4_opera_contig_197	1	38320	4401	37977	99.1049	14.9457	39.8	60.0
TLL4_opera_contig_207	44846	hyb_TLL4_opera_contig_207	4	TLL4_k99_51685	18625	4	TLL4_opera_contig_207	1	44846	16571	44812	99.9242	47.3816	39.9	60.0
TLL4_opera_contig_218	35074	hyb_TLL4_opera_contig_218	4	TLL4_k99_291346	16580	4	TLL4_opera_contig_218	1	35074	6164	35074	100.0	22.7296	39.8	60.0
TLL4_opera_contig_228	34403	hyb_TLL4_opera_contig_228	4	TLL4_k99_247130	10916	4	TLL4_opera_contig_228	1	34403	7311	34402	99.9971	27.7935	39.8	60.0
TLL4_opera_contig_230	36571	hyb_TLL4_opera_contig_230	4	TLL4_k99_88479	10036	4	TLL4_opera_contig_230	1	36571	3265	36157	98.868	11.475	39.9	60.0
TLL4_opera_contig_232	36563	hyb_TLL4_opera_contig_232	4	TLL4_k99_172314	7058	4	TLL4_opera_contig_232	1	36563	4718	35886	98.1484	17.067	39.7	53.9
TLL4_opera_contig_23_provirus_48185_106742	58558	hyb_TLL4_opera_contig_23_provirus_48185_106742	4	TLL4_k99_223607	20249	4	TLL4_opera_contig_23_provirus_48185_106742	1	58558	7371	57113	97.5324	17.1297	39.7	59.7
TLL4_opera_contig_247415_provirus_206471_236807	30337	hyb_TLL4_opera_contig_247415_provirus_206471_236807	4	TLL4_k99_226871	6800	4	TLL4_opera_contig_247415_provirus_206471_236807	1	30337	4907	29996	98.876	21.1542	39.8	60.0
TLL4_opera_contig_247569_provirus_36252_52535	16284	hyb_TLL4_opera_contig_247569_provirus_36252_52535	4	TLL4_k99_127223	5955	4	TLL4_opera_contig_247569_provirus_36252_52535	1	16284	1497	16169	99.2938	12.0815	39.8	60.0
TLL4_opera_contig_248315_provirus_32448_72759	40312	hyb_TLL4_opera_contig_248315_provirus_32448_72759	4	TLL4_k99_263161	18856	4	TLL4_opera_contig_248315_provirus_32448_72759	1	40312	9770	39747	98.5984	30.8994	39.9	59.8
TLL4_opera_contig_249204_provirus_787939_831397	43459	hyb_TLL4_opera_contig_249204_provirus_787939_831397	4	TLL4_k99_82017	11164	4	TLL4_opera_contig_249204_provirus_787939_831397	1	43459	29281	43459	100.0	86.6473	39.8	53.9
TLL4_opera_contig_249484_provirus_275369_301089	25721	hyb_TLL4_opera_contig_249484_provirus_275369_301089	4	TLL4_k99_33948	10298	4	TLL4_opera_contig_249484_provirus_275369_301089	1	25721	16068	25721	100.0	81.4132	39.8	60.0
TLL4_opera_contig_250570_provirus_185930_226374	40445	hyb_TLL4_opera_contig_250570_provirus_185930_226374	4	TLL4_k99_249575	10000	4	TLL4_opera_contig_250570_provirus_185930_226374	1	40445	30215	40445	100.0	97.6824	39.8	60.0
TLL4_opera_contig_251018_provirus_1025741_1065394	39654	hyb_TLL4_opera_contig_251018_provirus_1025741_1065394	4	TLL4_k99_38821	9884	4	TLL4_opera_contig_251018_provirus_1025741_1065394	1	39654	31186	39654	100.0	105.272	39.7	58.8
TLL4_opera_contig_251061_provirus_3_30914	30912	hyb_TLL4_opera_contig_251061_provirus_3_30914	4	TLL4_426197__full	15179	4	TLL4_opera_contig_251061_provirus_3_30914	1	30912	7926	30908	99.9871	33.0496	39.9	45.2
TLL4_opera_contig_251752	53772	hyb_TLL4_opera_contig_251752	4	TLL4_k99_299678	17180	4	TLL4_opera_contig_251752	1	53772	14291	53772	100.0	34.9427	39.8	60.0
TLL4_opera_contig_252606_provirus_30605_53568	22964	hyb_TLL4_opera_contig_252606_provirus_30605_53568	4	TLL4_k99_164028	8245	4	TLL4_opera_contig_252606_provirus_30605_53568	1	22964	2198	21833	95.0749	12.5437	39.8	60.0
TLL4_opera_contig_252673_provirus_845030_871461	26432	hyb_TLL4_opera_contig_252673_provirus_845030_871461	4	TLL4_k99_135271	9922	4	TLL4_opera_contig_252673_provirus_845030_871461	1	26432	7577	26431	99.9962	37.3094	39.9	60.0
TLL4_opera_contig_301	30195	hyb_TLL4_opera_contig_301	4	TLL4_k99_59174	12938	4	TLL4_opera_contig_301	1	30195	21896	30195	100.0	93.5871	39.9	60.0
TLL4_opera_contig_393_provirus_21088_36508	15421	hyb_TLL4_opera_contig_393_provirus_21088_36508	4	TLL4_k99_13466	6302	4	TLL4_opera_contig_393_provirus_21088_36508	1	15421	17416	15421	100.0	146.356	39.8	60.0
TLL4_opera_contig_409	25140	hyb_TLL4_opera_contig_409	4	TLL4_k99_11864	12393	4	TLL4_opera_contig_409	1	25140	4805	25140	100.0	25.2267	39.8	60.0
TLL4_opera_contig_442	24606	hyb_TLL4_opera_contig_442	4	TLL4_k99_176979	5293	4	TLL4_opera_contig_442	1	24606	1715	24298	98.7483	9.42116	39.7	60.0
TLL4_opera_contig_461	23485	hyb_TLL4_opera_contig_461	4	TLL4_k99_72797	9295	4	TLL4_opera_contig_461	1	23485	1993	23243	98.9696	10.9593	39.9	60.0
TLL4_opera_contig_5	192038	hyb_TLL4_opera_contig_5	4	TLL4_k99_93262	23081	4	TLL4_opera_contig_5	1	192038	15901	188789	98.3081	10.8183	39.9	60.0
TLL4_opera_contig_503	26672	hyb_TLL4_opera_contig_503	4	TLL4_k99_98406	5671	4	TLL4_opera_contig_503	1	26672	1095	24738	92.749	5.37654	40.0	60.0
TLL4_opera_contig_533_provirus_1_14556	14556	hyb_TLL4_opera_contig_533_provirus_1_14556	4	TLL4_k99_349129	5142	4	TLL4_opera_contig_533_provirus_1_14556	1	14556	1108	12495	85.8409	9.72039	39.8	60.0
TLL4_opera_contig_617	22284	hyb_TLL4_opera_contig_617	4	TLL4_k99_75073	8877	4	TLL4_opera_contig_617	1	22284	4539	22284	100.0	25.7705	39.9	41.7
TLL4_opera_contig_625	21157	hyb_TLL4_opera_contig_625	4	TLL4_k99_9125	5572	4	TLL4_opera_contig_625	1	21157	4387	20706	97.8683	26.3566	39.8	60.0
