votu95_id	num_hyb	num_sr	max_hyb_len	max_sr_len	hyb_VFC	sr_VFC
hyb_TLL49_opera_contig_3	1	10	160823	44110	299	
hyb_TLL25_opera_contig_10	3	10	160819	25381	89	
hyb_TLL31_opera_contig_38	2	8	159214	15526	89	
hyb_TLL63_opera_contig_13_provirus_29613_188431	1	6	158819	10854	306	
hyb_TLL4_10__full	1	8	158596	26547	89	
hyb_TLL90_opera_contig_98941_provirus_6253_164692	1	9	158440	46842	250	
hyb_TLL84_163846__0_partial_1	3	6	157820	13964	27	
hyb_TLL48_opera_contig_19	1	12	157175	20271	123	
hyb_TLL105_opera_contig_2_provirus_44494_201070	1	3	156577	25664	254	
hyb_TLL10_opera_contig_143140	2	4	155819	7759		
hyb_TLL30_opera_contig_354537	1	19	154592	22678	154	
hyb_TLL45_opera_contig_297740_provirus_129650_283659	1	0	154010	0	202	
hyb_TLL69_opera_contig_7	2	6	153534	24335	69	
hyb_TLL82_opera_contig_1_provirus_318_153319	1	0	153002	0		
hyb_TLL31_325373__0_partial_1	5	15	150942	40206	110	
hyb_TLL102_opera_contig_31_provirus_196_150452	1	4	150257	59093	69	
hyb_TLL43_opera_contig_13	1	8	149981	33811		
hyb_TLL84_162685__full_1	1	1	149457	14128	1	
hyb_TLL45_opera_contig_43	2	11	149338	10816	123	
hyb_TLL101_opera_contig_9	1	12	149068	15068		
hyb_TLL36_152077__full_1	1	11	149002	12029		
hyb_TLL18_opera_contig_28	3	6	147816	35460	89	
hyb_TLL78_opera_contig_12	1	10	146281	20603	368	
hyb_TLL57_5__full_1	1	13	146238	15758	231	
hyb_TLL96_opera_contig_13	1	12	145091	40853	231	
hyb_TLL108_opera_contig_86535_provirus_8088_153108	1	5	145021	46226		
hyb_TLL44_opera_contig_13	1	12	144506	16292	123	
hyb_TLL52_opera_contig_4	1	8	144420	24994		
hyb_TLL106_opera_contig_155843_provirus_494503_638774	1	2	144272	9294	250	
hyb_TLL76_opera_contig_1_provirus_183539_327713	1	3	144175	6560	382	
hyb_TLL95_opera_contig_2	1	3	143743	8499	142	
hyb_TLL5_opera_contig_14	1	10	143323	18613	123	
hyb_TLL74_opera_contig_17	1	3	143232	12172		
hyb_TLL11_opera_contig_164469_provirus_104466_247457	1	0	142992	0		
hyb_TLL50_11__full	3	14	142767	38345		
hyb_TLL49_opera_contig_4	1	11	142624	26888		
hyb_TLL18_opera_contig_29	4	20	142173	24046	154	
hyb_TLL43_opera_contig_9_provirus_3_141837	1	6	141835	22461	184	
hyb_TLL5_opera_contig_306339_provirus_3_141269	1	8	141267	32204	154	
hyb_TLL45_opera_contig_46	1	11	139491	23493	123	
hyb_TLL36_opera_contig_151439_provirus_142433_280633	1	2	138201	16149		
hyb_TLL6_opera_contig_20	2	1	137574	10587		
hyb_TLL30_opera_contig_26	1	5	137450	13690		
hyb_TLL95_opera_contig_115128_provirus_248281_384893	5	13	136613	52702	43	110
hyb_TLL75_opera_contig_11	2	11	136266	47964	142	
hyb_TLL89_opera_contig_7	1	7	135788	29334	279	
hyb_TLL1_opera_contig_131512	2	6	135015	54426	312	
hyb_TLL31_opera_contig_84	1	11	134475	13469	154	
hyb_TLL44_opera_contig_17	5	16	132734	14541	154	
hyb_TLL40_opera_contig_49	1	10	130326	14906		
hyb_TLL83_opera_contig_12	1	9	129885	28178	123	
hyb_TLL107_opera_contig_97334_provirus_114804_244646	1	0	129843	0	250	
hyb_TLL18_opera_contig_303831	1	0	129504	0		
hyb_TLL99_opera_contig_159485	1	1	129133	6629		
hyb_TLL51_opera_contig_13	1	9	128503	23023	231	
hyb_TLL63_opera_contig_15_provirus_60217_188231	1	6	128015	24565	236	
hyb_TLL100_opera_contig_7	1	5	127430	13306		
hyb_TLL31_opera_contig_66	1	5	125554	19463	123	
hyb_TLL14_opera_contig_174711	1	0	124293	0		
hyb_TLL30_opera_contig_36	2	3	123005	12264		
hyb_TLL99_opera_contig_19	4	3	121835	89154	27	110
hyb_TLL44_opera_contig_23	3	11	121830	17299	219	
hyb_TLL69_opera_contig_186693_provirus_51_121810	1	2	121760	35398		
hyb_TLL4_249204__0_partial_1	2	10	121662	19688	229	
hyb_TLL80_opera_contig_20	1	2	121434	6247	250	
hyb_TLL77_opera_contig_103707	1	9	120549	12431		
hyb_TLL74_36__full	1	5	120033	9369	1	
hyb_TLL44_opera_contig_271887_provirus_30013_149646	4	5	119634	13293	72	132
hyb_TLL80_opera_contig_24	2	5	119601	42645	89	
hyb_TLL10_opera_contig_9	1	8	119381	16211	373	
hyb_TLL69_opera_contig_16	1	3	119247	29020	279	
hyb_TLL44_opera_contig_269374	1	3	119079	7658		
hyb_TLL23_opera_contig_9	4	13	118799	32450	154	
hyb_TLL76_opera_contig_1_provirus_607_119037	1	7	118431	12183		
hyb_TLL45_opera_contig_56	1	5	118006	21980	154	
hyb_TLL100_opera_contig_229742_provirus_15398_132453	2	5	117056	24140		
hyb_TLL16_opera_contig_39	2	0	116637	0		
hyb_TLL36_opera_contig_2_provirus_87_116579	1	3	116493	13001	406	
hyb_TLL103_opera_contig_65043_provirus_236755_353163	1	0	116409	0	27	
hyb_TLL8_opera_contig_119891_provirus_2_116092	3	1	116091	10890		
hyb_TLL64_129116__full_1	3	5	115708	11043	59	
hyb_TLL61_opera_contig_18	5	9	115623	22874	67	
hyb_TLL75_opera_contig_13	1	8	115372	26695		
hyb_TLL28_opera_contig_17	4	11	115286	39155	27	
hyb_TLL38_211840__0_partial_1	7	40	114904	48435	39	
hyb_TLL60_opera_contig_19	1	5	114468	16494		
hyb_TLL28_opera_contig_24	1	5	113985	15225		
hyb_TLL60_opera_contig_20_provirus_191_114164	1	0	113974	0	236	
hyb_TLL64_opera_contig_17	1	6	113879	38610		
hyb_TLL67_7__full	17	30	113659	37123	27	
hyb_TLL2_opera_contig_153556	1	16	113463	22721		
hyb_TLL61_149893__full_1	1	10	113417	12278		
hyb_TLL37_19__full	1	1	112203	29836	27	
hyb_TLL45_opera_contig_63	1	4	111680	34369	273	
hyb_TLL104_109218__0_partial_1	5	9	111610	40700	2	780
hyb_TLL72_opera_contig_11_provirus_14006_125481	2	6	111476	26713		
hyb_TLL89_opera_contig_172288_provirus_1_111456	2	9	111456	12319	1	
hyb_TLL8_opera_contig_17	1	3	111365	7488		
hyb_TLL40_opera_contig_197201_provirus_65815_177118	2	4	111304	15343	27	
hyb_TLL16_opera_contig_210053_provirus_191461_302409	2	4	110949	20071	219	
hyb_TLL101_214102__full_1	3	7	110511	17406	238	
hyb_TLL87_opera_contig_31	2	0	110265	0	27	
hyb_TLL27_opera_contig_14	1	14	109270	21349	174	
hyb_TLL8_opera_contig_119919_provirus_91194_200067	1	1	108874	5746	238	
hyb_TLL91_opera_contig_60	1	0	108290	0	27	
hyb_TLL65_opera_contig_20_provirus_29077_137181	3	12	108105	20535	1	
hyb_TLL66_opera_contig_10	1	2	107775	19549		
hyb_TLL74_opera_contig_51	1	1	107664	5330	89	
hyb_TLL36_154339__full_1	2	11	107646	23857	86	
hyb_TLL80_opera_contig_21	1	3	107370	32209	154	
hyb_TLL20_opera_contig_9	1	5	107315	46476	123	
hyb_TLL87_95694__full	1	0	107199	0	249	
hyb_TLL74_opera_contig_230346_provirus_13740_120613	1	3	106874	37297	3	83
hyb_TLL54_opera_contig_21	1	4	106595	11817		
hyb_TLL40_opera_contig_21_provirus_46293_152717	1	2	106425	16511		
hyb_TLL45_opera_contig_78	1	4	106324	23226	174	
hyb_TLL82_opera_contig_23	1	8	106222	17451	217	
hyb_TLL107_opera_contig_13	1	9	105628	22962	174	
hyb_TLL45_opera_contig_74	1	7	105596	33837	27	
hyb_TLL7_opera_contig_8	2	6	105542	21614	219	
hyb_TLL65_opera_contig_32	1	2	105211	11038	408	
hyb_TLL37_opera_contig_47	1	1	104922	6146	174	
hyb_TLL81_opera_contig_22_provirus_6995_111891	1	3	104897	18783		
hyb_TLL60_opera_contig_33	1	3	104180	13527	184	
hyb_TLL43_opera_contig_22	1	8	104092	19989	67	
hyb_TLL77_opera_contig_16	1	6	103933	18823		
hyb_TLL88_opera_contig_24	1	4	103890	14085	174	
hyb_TLL38_opera_contig_20	1	4	103761	33338	69	
hyb_TLL40_opera_contig_66	1	3	103666	27960	27	
hyb_TLL85_opera_contig_9_provirus_409_103389	1	2	102981	15685		
hyb_TLL28_opera_contig_257093	2	8	102741	26274	1	
hyb_TLL94_186945__0_partial_1	3	14	102626	13391	19	
hyb_TLL33_opera_contig_11	1	8	102589	27788	228	
hyb_TLL3_opera_contig_51	1	10	102364	28022		
hyb_TLL68_opera_contig_15	1	2	102357	27188	174	
hyb_TLL6_opera_contig_46	1	1	102294	26737		
hyb_TLL95_opera_contig_7	1	9	101896	14389	123	
hyb_TLL81_opera_contig_21_provirus_2_101820	1	3	101819	13802		
hyb_TLL48_45__full	3	0	101752	0	27	
hyb_TLL93_opera_contig_21	1	4	101608	38406	67	
hyb_TLL25_opera_contig_23	1	4	101513	11923		
hyb_TLL44_opera_contig_22	1	7	101443	28425	242	
hyb_TLL54_opera_contig_184160_provirus_53187_154002	3	6	100816	18730	40	
hyb_TLL93_opera_contig_10_provirus_89653_190441	1	2	100789	49071		
hyb_TLL35_opera_contig_230500_provirus_2_100639	5	12	100638	21713	66	
hyb_TLL48_opera_contig_48	2	6	100616	24908	242	
hyb_TLL38_opera_contig_55	1	2	100554	21644	67	
hyb_TLL106_opera_contig_155311_provirus_135421_235937	2	2	100517	10869	1	
hyb_TLL31_opera_contig_350	1	0	99980	0		
hyb_TLL99_opera_contig_53	1	2	99941	6957	67	
hyb_TLL101_opera_contig_33	1	6	99884	25233	123	
hyb_TLL74_opera_contig_6_provirus_1_99664	1	1	99664	10417		
hyb_TLL71_opera_contig_29	1	1	99635	5304	89	
hyb_TLL80_opera_contig_22	2	4	99587	17785	67	
hyb_TLL91_opera_contig_14	2	3	99572	6368	67	
hyb_TLL37_opera_contig_66	2	7	99563	16683	21	
hyb_TLL75_opera_contig_16	1	11	99318	12514	67	
hyb_TLL102_opera_contig_83	1	11	99237	24215	123	
hyb_TLL9_opera_contig_38	2	3	99070	14552	26	
hyb_TLL74_opera_contig_43	1	5	98891	14625	67	
hyb_TLL85_opera_contig_9_provirus_115668_214366	1	3	98699	15715		
hyb_TLL44_50__full	2	1	98686	5367	67	
hyb_TLL6_190477__0_partial_1	3	6	98628	34147	27	
hyb_TLL106_opera_contig_155968_provirus_189986_288469	1	5	98484	50798	273	
hyb_TLL71_opera_contig_37	1	27	98310	17427	117	
hyb_TLL95_opera_contig_6	1	1	98309	16509	67	
hyb_TLL79_18__full_1	1	8	98193	24304		
hyb_TLL45_opera_contig_142	2	0	98092	0	67	
hyb_TLL26_opera_contig_48	1	6	98047	12706	67	
hyb_TLL109_opera_contig_12	2	8	97939	12091	67	
hyb_TLL35_opera_contig_22	1	9	97763	11813	177	
hyb_TLL8_opera_contig_121742_provirus_483388_580517	3	10	97130	23470		
hyb_TLL48_opera_contig_52	1	4	97093	11378		
hyb_TLL47_17__full	1	1	97056	5195		
hyb_TLL16_opera_contig_23	4	26	97030	79077	49	138
hyb_TLL43_opera_contig_46	1	0	97017	0	89	
hyb_TLL101_opera_contig_44	1	6	96985	21379	117	
hyb_TLL82_opera_contig_167	1	0	96921	0	471	
hyb_TLL9_30271__full_1	2	6	96808	25684	2	
hyb_TLL38_opera_contig_213116_provirus_262767_359494	2	3	96728	17590	4	
hyb_TLL96_opera_contig_203511	1	1	96405	17279	89	
hyb_TLL20_opera_contig_12	1	2	96370	8769	89	
hyb_TLL5_73__full	1	0	96191	0	186	
hyb_TLL83_opera_contig_232753	1	0	96059	0		
hyb_TLL36_153869__full_1	3	3	95912	9425	44	
hyb_TLL15_opera_contig_20	1	5	95808	23486		
hyb_TLL70_opera_contig_18	4	14	95671	25361	49	
hyb_TLL74_opera_contig_49	1	5	95561	15385	1	
hyb_TLL48_opera_contig_77	2	4	95537	15387	242	
hyb_TLL69_opera_contig_20	1	4	95414	24637		
hyb_TLL99_160010__0_partial	2	4	95378	25329	1	
hyb_TLL81_opera_contig_245161	4	5	95377	32029	4	
hyb_TLL92_opera_contig_13	4	12	95288	16087	49	
hyb_TLL49_opera_contig_35	3	1	95229	5460	67	
hyb_TLL51_opera_contig_273211_provirus_3_95231	1	5	95229	11321	301	
hyb_TLL101_opera_contig_90_provirus_1_94960	4	10	94960	13262	4	
hyb_TLL5_opera_contig_44	1	0	94950	0	242	
hyb_TLL14_opera_contig_22	1	6	94941	13397	49	
hyb_TLL95_opera_contig_115336_provirus_6781_101522	2	5	94742	49126	27	
hyb_TLL84_opera_contig_27	1	3	94591	38082	49	
hyb_TLL28_opera_contig_8_provirus_2_94186	1	1	94185	20474	69	
hyb_TLL37_opera_contig_46	1	0	94124	0		
hyb_TLL12_36__full	1	0	93987	0		
hyb_TLL12_opera_contig_43	1	4	93922	12278	49	
hyb_TLL56_opera_contig_56	2	1	93774	5018	67	
hyb_TLL99_opera_contig_38	2	27	93765	25915	117	
hyb_TLL94_188663__0_partial_1	2	16	93737	23461	45	
hyb_TLL3_opera_contig_100_provirus_12800_106431	4	8	93632	13925	108	
hyb_TLL71_opera_contig_30	1	6	93518	22594		
hyb_TLL39_opera_contig_43	1	4	93481	15403	49	
hyb_TLL8_opera_contig_121747_provirus_80055_173501	1	4	93447	14479	45	
hyb_TLL57_opera_contig_15	1	9	93381	17026	108	
hyb_TLL37_opera_contig_157716_provirus_247063_340372	1	3	93310	29788		
hyb_TLL28_opera_contig_32	2	6	93277	12327	117	
hyb_TLL70_14__full	1	1	93019	5938		
hyb_TLL28_opera_contig_89	2	1	92970	5214		
hyb_TLL68_opera_contig_30	2	0	92967	0	177	
hyb_TLL45_opera_contig_319	1	0	92837	0		
hyb_TLL80_opera_contig_37	3	4	92793	26254	219	
hyb_TLL80_opera_contig_31	1	6	92397	20687	117	
hyb_TLL70_opera_contig_12	1	1	92223	9110	89	
hyb_TLL84_opera_contig_163869_provirus_8901_101078	1	9	92178	11710	257	
hyb_TLL24_opera_contig_125	1	5	91949	9029		
hyb_TLL100_opera_contig_230104_provirus_72271_164062	1	5	91792	21853	346	
hyb_TLL45_opera_contig_96	2	7	91701	16196	177	
hyb_TLL74_opera_contig_232950_provirus_596503_688183	2	5	91681	20066		
hyb_TLL43_347459__full_1	1	7	91679	15778		
hyb_TLL70_162795__full_1	5	18	91674	14514	10	
hyb_TLL22_opera_contig_171960_provirus_8341_99923	1	2	91583	29881		
hyb_TLL28_opera_contig_255576_provirus_8345_99852	2	2	91508	18093	320	
hyb_TLL106_opera_contig_44	1	0	91467	0		
hyb_TLL71_opera_contig_33	1	4	91367	28621		
hyb_TLL70_opera_contig_11	1	7	91346	23698	228	
hyb_TLL59_opera_contig_13	2	1	91320	5409	49	
hyb_TLL63_opera_contig_140173_provirus_2_91312	4	4	91311	48529	1	619
hyb_TLL3_45__full_1	1	3	91306	5781	1	
hyb_TLL63_137132__full_1	6	11	91284	12870	81	
hyb_TLL95_opera_contig_117972_provirus_605346_696508	3	12	91163	11390	1	
hyb_TLL25_opera_contig_28	1	0	91149	0		
hyb_TLL47_70137__0_partial_1	2	0	91074	0	26	
hyb_TLL34_opera_contig_105353	1	3	91056	9488		
hyb_TLL45_opera_contig_293544_provirus_78362_169411	2	1	91050	8996	203	
hyb_TLL34_opera_contig_43_provirus_376_91308	6	20	90933	30101	1	
hyb_TLL94_opera_contig_93	1	2	90896	12215	117	
hyb_TLL23_opera_contig_15	1	6	90877	19411	123	
hyb_TLL45_opera_contig_303	1	0	90860	0		
hyb_TLL3_opera_contig_87	1	3	90688	5585	49	
hyb_TLL106_opera_contig_155843_provirus_81938_172526	2	6	90589	16139	44	
hyb_TLL66_opera_contig_17	1	4	90462	16657	89	
hyb_TLL45_opera_contig_128_provirus_46_90422	4	10	90377	14179	1	
hyb_TLL18_304422__full_2	3	9	90317	14769	1	
hyb_TLL6_opera_contig_45	1	3	90298	7695		
hyb_TLL39_223238__full	2	2	90204	7250	62	
hyb_TLL11_opera_contig_48	1	4	90144	54121	67	144
hyb_TLL23_opera_contig_159883_provirus_49_90182	1	8	90134	13139		
hyb_TLL43_opera_contig_35	1	1	90122	5009	242	
hyb_TLL6_5__full_1	2	6	89990	24294		
hyb_TLL31_opera_contig_353	1	0	89913	0		
hyb_TLL83_opera_contig_232778	1	0	89830	0	1	
hyb_TLL46_opera_contig_30	3	2	89794	22052	49	
hyb_TLL61_21__full	2	0	89754	0	27	
hyb_TLL66_opera_contig_8_provirus_64224_153899	1	2	89676	9401		
hyb_TLL84_164154__full_1	2	11	89518	15147	54	
hyb_TLL102_opera_contig_96	1	7	89187	23436	49	
hyb_TLL72_opera_contig_125448_provirus_11810_100563	2	13	88754	19209	122	
hyb_TLL75_opera_contig_160984_provirus_1052306_1140702	2	8	88397	14040	4	
hyb_TLL94_opera_contig_185510_provirus_122733_211078	3	6	88346	23369	34	
hyb_TLL51_opera_contig_33	1	6	88160	11755	320	
hyb_TLL82_opera_contig_7_provirus_91238_179392	1	2	88155	8101		
hyb_TLL38_opera_contig_41	1	1	88096	18669		
hyb_TLL3_opera_contig_76	1	3	88082	34698	89	
hyb_TLL33_opera_contig_22	1	3	87600	35247		
hyb_TLL90_opera_contig_97225_provirus_3_87491	2	5	87489	14404	28	
hyb_TLL95_115359__full	2	4	87463	25876	293	
hyb_TLL82_opera_contig_42	1	4	87417	28332	217	
hyb_TLL85_opera_contig_38	1	3	87392	36683		
hyb_TLL43_opera_contig_67	1	0	87364	0		
hyb_TLL80_opera_contig_143	4	1	87337	5635	49	
hyb_TLL49_opera_contig_13	1	3	86940	26203		
hyb_TLL103_opera_contig_22_provirus_2_86849	2	2	86848	10658		
hyb_TLL31_opera_contig_43_provirus_3_86793	3	6	86791	23406		
hyb_TLL25_opera_contig_40	1	3	86585	20883		
hyb_TLL44_opera_contig_31	4	8	86553	29100	217	
hyb_TLL9_opera_contig_30266_provirus_1080608_1167142	5	8	86535	30160	45	
hyb_TLL45_opera_contig_225	2	1	86506	5593	117	
hyb_TLL69_21__full	4	8	86504	33680	87	547
hyb_TLL106_opera_contig_152958_provirus_10536_96840	1	6	86305	17169	122	
hyb_TLL48_opera_contig_66	2	7	85957	12816	43	
hyb_TLL93_opera_contig_10_provirus_1_85827	1	4	85827	35779		
hyb_TLL103_opera_contig_77	2	1	85752	5144	27	
hyb_TLL78_opera_contig_71	1	0	85677	0		
hyb_TLL91_opera_contig_116286_provirus_3_85654	3	11	85652	9854	101	
hyb_TLL60_27__full_1	1	0	85631	0	27	
hyb_TLL11_opera_contig_164627_provirus_1_85328	1	0	85328	0	273	
hyb_TLL40_opera_contig_196769_provirus_45210_130526	7	16	85317	19713	70	
hyb_TLL36_opera_contig_45	2	6	85269	10176	49	
hyb_TLL16_33__full	2	12	85186	27174	40	
hyb_TLL9_opera_contig_30054_provirus_385588_470609	1	4	85022	23784	304	
hyb_TLL84_opera_contig_48_provirus_5479_90248	7	13	84770	32402	10	
hyb_TLL48_opera_contig_255345_provirus_152705_237249	2	1	84545	9349		
hyb_TLL2_opera_contig_150648_provirus_56644_141166	1	4	84523	29002	189	544
hyb_TLL23_17__full_1	10	27	84460	43783	57	702
hyb_TLL66_opera_contig_21	2	7	84383	26628	117	
hyb_TLL45_opera_contig_437	2	0	84376	0		
hyb_TLL56_opera_contig_16_provirus_22447_106759	8	18	84313	15763	4	
hyb_TLL52_opera_contig_270494_provirus_433076_517303	1	1	84228	6372	122	
hyb_TLL38_opera_contig_36_provirus_2_84210	1	6	84209	20759	206	
hyb_TLL14_opera_contig_25	2	4	84147	11462	117	
hyb_TLL34_opera_contig_105437_provirus_1_84061	1	1	84061	13226		
hyb_TLL65_opera_contig_109398_provirus_554910_638884	1	2	83975	6918	96	
hyb_TLL95_opera_contig_9	2	6	83948	13171	49	
hyb_TLL75_opera_contig_6_provirus_3_83774	1	9	83772	28495	4	
hyb_TLL42_opera_contig_64430_provirus_1_83744	5	14	83744	14538	39	
hyb_TLL38_opera_contig_94	3	1	83726	6158	49	
hyb_TLL57_opera_contig_44_provirus_13_83555	2	9	83543	21953	1	294
hyb_TLL71_opera_contig_53	1	7	83441	18767	67	
hyb_TLL88_opera_contig_27	1	3	83369	48809		
hyb_TLL14_opera_contig_37	1	6	83305	16875		
hyb_TLL24_opera_contig_108118_provirus_265853_349131	9	11	83279	34954	28	
hyb_TLL69_opera_contig_186886_provirus_34320_117524	1	1	83205	12024		
hyb_TLL11_opera_contig_56	1	7	83136	10763	61	
hyb_TLL94_187998__0_partial	1	0	83071	0	61	
hyb_TLL47_opera_contig_70475_provirus_165475_248399	2	5	82925	25418		
hyb_TLL31_opera_contig_311	1	0	82845	0	49	
hyb_TLL33_104940__full_1	6	15	82832	34333	2	84
hyb_TLL37_opera_contig_119	1	0	82792	0		
hyb_TLL58_opera_contig_11	2	6	82742	27707	27	
hyb_TLL71_opera_contig_38	1	1	82699	15808		
hyb_TLL83_27__full_1	1	3	82620	24732	87	
hyb_TLL82_171616__full_1	5	5	82510	24030	45	
sr_TLL99_k99_24427	0	1	0	82508		
hyb_TLL108_opera_contig_87267_provirus_1627325_1709811	2	5	82487	16808	45	
hyb_TLL76_opera_contig_1609	1	0	82464	0	78	
hyb_TLL40_opera_contig_91	1	3	82169	10584		
hyb_TLL63_opera_contig_61	1	8	82086	24205	181	87
hyb_TLL101_opera_contig_59	2	2	82040	48680	177	
hyb_TLL43_opera_contig_349128	4	9	82031	18924	1	
hyb_TLL107_opera_contig_94933_provirus_105693_187702	2	1	82010	6575	305	
hyb_TLL103_opera_contig_58	1	2	81883	22348	297	
hyb_TLL94_186934__0_partial_1	5	11	81598	24825	37	631
hyb_TLL10_opera_contig_21	1	2	81577	5779		
hyb_TLL80_opera_contig_52	2	8	81573	11964	4	
hyb_TLL81_opera_contig_244986_provirus_221857_303417	3	2	81561	9099	122	
hyb_TLL108_opera_contig_14_provirus_1027_82500	3	4	81474	33923	122	
hyb_TLL12_30__full_1	1	3	81445	19648	85	
hyb_TLL29_opera_contig_44_provirus_1_81379	1	11	81379	16234	2	
hyb_TLL101_opera_contig_215720_provirus_548326_629704	3	3	81379	14793	99	
hyb_TLL55_opera_contig_140724_provirus_746556_827914	3	16	81359	12092	1	
hyb_TLL45_opera_contig_121	1	5	81347	23549		
hyb_TLL20_opera_contig_21	1	7	81279	9381		
hyb_TLL74_opera_contig_232163	1	5	81242	14253		132
hyb_TLL8_121883__0_partial_1	3	5	81142	16319	31	
hyb_TLL81_34__full	1	2	81057	6124		
hyb_TLL68_opera_contig_24	3	14	81022	18835	1	
hyb_TLL106_opera_contig_16_provirus_27451_108058	1	5	80608	18059	1	
hyb_TLL66_opera_contig_24	1	3	80517	10603		
hyb_TLL22_opera_contig_174362	1	0	80477	0	20	
hyb_TLL63_opera_contig_18_provirus_77942_158175	1	0	80234	0		
hyb_TLL84_110__full	1	2	80049	13271	364	
hyb_TLL91_opera_contig_115309_provirus_68_80008	1	3	79941	26854		
hyb_TLL55_opera_contig_20	1	6	79867	20068	1	
hyb_TLL63_opera_contig_39_provirus_17263_97080	1	6	79818	14295		
hyb_TLL25_opera_contig_142739_provirus_20870_100677	2	3	79808	12136		
hyb_TLL62_opera_contig_42	1	0	79785	0	49	
hyb_TLL44_opera_contig_59	1	0	79559	0	183	
hyb_TLL45_opera_contig_294132_provirus_35501_114978	1	7	79478	16968	110	
